theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
5.328750,5.328750,0.000000,0.145179
0.776353,0.776353,0.000000,0.148946
2.519201,2.519201,0.000000,0.151998
4.265110,4.265110,0.000000,0.155455
6.006679,6.006679,0.000000,0.151148
1.478004,1.478004,0.000000,0.149765
3.226367,3.226367,0.000000,0.147840
4.993712,4.993712,0.000000,0.147204
0.476970,0.476970,0.000000,0.128521
2.238315,2.238315,0.000000,0.125449
3.995131,3.995131,0.000000,0.115692
5.750224,5.750224,0.000000,0.112684
1.222154,1.222154,0.000000,0.119211
2.976308,2.976308,0.000000,0.120632
4.733164,4.733164,0.000000,0.116535
0.193351,0.193351,0.000000,0.120305
1.939448,1.939448,0.000000,0.125854
3.691861,3.691861,0.000000,0.124357
5.437727,5.437727,0.000000,0.133174
0.908589,0.908589,0.000000,0.134810
2.673984,2.673984,0.000000,0.125204
4.424403,4.424403,0.000000,0.128384
6.166117,6.166117,0.000000,0.127057
1.623388,1.623388,0.000000,0.123456
3.364978,3.364978,0.000000,0.136208
5.099374,5.099374,0.000000,0.138387
0.555660,0.555660,0.000000,0.145142
2.293391,2.293391,0.000000,0.148900
4.033114,4.033114,0.000000,0.150053
5.782757,5.782757,0.000000,0.153733
1.245292,1.245292,0.000000,0.150778
2.988830,2.988830,0.000000,0.146478
4.759406,4.759406,0.000000,0.142644
0.241992,0.241992,0.000000,0.143273
1.998408,1.998408,0.000000,0.125932
3.758937,3.758937,0.000000,0.118046
5.515860,5.515860,0.000000,0.114218
0.977679,0.977679,0.000000,0.114925
2.739886,2.739886,0.000000,0.116629
4.492738,4.492738,0.000000,0.116362
6.239821,6.239821,0.000000,0.118192
1.695624,1.695624,0.000000,0.116000
3.454118,3.454118,0.000000,0.125611
5.194617,5.194617,0.000000,0.131528
0.668288,0.668288,0.000000,0.129860
2.426278,2.426278,0.000000,0.131948
4.166589,4.166589,0.000000,0.131577
5.911219,5.911219,0.000000,0.128119
1.368322,1.368322,0.000000,0.134709
3.101460,3.101460,0.000000,0.135787
4.844350,4.844350,0.000000,0.139496
0.295708,0.295708,0.000000,0.146256
2.031592,2.031592,0.000000,0.150856
3.769826,3.769826,0.000000,0.152443
5.520833,5.520833,0.000000,0.154678
0.972674,0.972674,0.000000,0.153799
2.724898,2.724898,0.000000,0.152901
4.487559,4.487559,0.000000,0.151487
6.256356,6.256356,0.000000,0.138948
1.728496,1.728496,0.000000,0.132796
3.499175,3.499175,0.000000,0.120777
5.247790,5.247790,0.000000,0.119047
0.719804,0.719804,0.000000,0.113954
2.476996,2.476996,0.000000,0.113306
4.232261,4.232261,0.000000,0.120368
5.981167,5.981167,0.000000,0.115662
1.451066,1.451066,0.000000,0.121106
3.193326,3.193326,0.000000,0.120444
4.939551,4.939551,0.000000,0.125526
0.411292,0.411292,0.000000,0.128870
2.169806,2.169806,0.000000,0.132358
3.911794,3.911794,0.000000,0.132407
5.667834,5.667834,0.000000,0.130472
1.115836,1.115836,0.000000,0.130970
2.853356,2.853356,0.000000,0.134188
4.594234,4.594234,0.000000,0.138814
0.046178,0.046178,0.000000,0.150178
1.780259,1.780259,0.000000,0.152770
3.531203,3.531203,0.000000,0.156939
5.273925,5.273925,0.000000,0.155432
0.735560,0.735560,0.000000,0.147772
2.484176,2.484176,0.000000,0.145635
4.241557,4.241557,0.000000,0.146293
6.008481,6.008481,0.000000,0.144385
1.490039,1.490039,0.000000,0.126915
3.250861,3.250861,0.000000,0.122518
