ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.009107,0.126391,0.126719,7.525611
-0.005153,0.133298,0.133398,7.509268
-0.007679,0.134886,0.135105,7.534703
-0.006992,0.124999,0.125194,7.518548
-0.004234,0.126115,0.126186,7.523273
-0.009649,0.128228,0.128591,7.487828
-0.006267,0.125396,0.125553,7.468121
-0.005832,0.145447,0.145564,7.473850
-0.011167,0.152139,0.152548,7.460089
-0.012448,0.152030,0.152539,7.455938
-0.019656,0.155113,0.156353,7.474442
-0.021376,0.151618,0.153118,7.478026
-0.019968,0.147950,0.149291,7.486650
-0.016590,0.148186,0.149112,7.499047
-0.015796,0.154487,0.155293,7.535572
-0.015764,0.134945,0.135862,7.561864
-0.015328,0.129361,0.130266,7.581553
-0.016204,0.118686,0.119788,7.575238
-0.010093,0.117900,0.118331,7.570977
-0.008947,0.115837,0.116182,7.562831
-0.006676,0.116971,0.117161,7.563946
-0.008205,0.112776,0.113074,7.556721
-0.006988,0.112129,0.112347,7.549872
-0.009351,0.120512,0.120874,7.523260
-0.007994,0.119627,0.119894,7.518320
-0.008235,0.128553,0.128816,7.527102
-0.005437,0.134115,0.134225,7.517645
-0.005886,0.129963,0.130096,7.526060
-0.006610,0.131471,0.131637,7.538486
-0.009233,0.131459,0.131783,7.517401
-0.008502,0.129934,0.130212,7.495199
-0.008829,0.139861,0.140139,7.476365
-0.006923,0.142328,0.142496,7.473815
-0.013325,0.146731,0.147335,7.455683
-0.016581,0.148943,0.149863,7.469272
-0.021961,0.151582,0.153165,7.463790
-0.019893,0.154228,0.155506,7.484862
-0.016879,0.149508,0.150458,7.496723
-0.014967,0.149322,0.150070,7.495828
-0.016848,0.145816,0.146786,7.518568
-0.019253,0.146064,0.147327,7.574914
-0.014655,0.126061,0.126910,7.580350
-0.014212,0.120054,0.120892,7.584780
-0.007869,0.111059,0.111337,7.579648
-0.007235,0.111108,0.111343,7.561022
-0.005402,0.111529,0.111660,7.556733
-0.007148,0.117512,0.117729,7.566668
-0.008458,0.115281,0.115591,7.541865
-0.008921,0.115692,0.116036,7.511183
-0.006575,0.124444,0.124618,7.528746
-0.005961,0.129290,0.129427,7.517304
-0.007882,0.130391,0.130629,7.519905
-0.009933,0.129048,0.129430,7.524608
