theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
0.711078,0.981694,15.505169,0.158318
3.164430,3.434830,15.492826,0.152337
5.625813,5.896382,15.502460,0.153087
1.782889,2.052604,15.453508,0.152822
4.246015,4.516187,15.479735,0.155959
0.419282,0.689508,15.482784,0.156847
2.882594,3.153132,15.500706,0.156086
5.333051,5.603163,15.476241,0.152834
1.491096,1.760467,15.433848,0.156131
3.917203,4.185455,15.369707,0.161075
0.076336,0.344572,15.368750,0.174259
2.505820,2.773527,15.338448,0.176705
4.941407,5.209043,15.334402,0.187873
1.097518,1.365227,15.338606,0.189284
3.552802,3.821499,15.395205,0.187170
6.024273,0.011131,15.472335,0.186278
2.200728,2.471079,15.489946,0.178409
4.657229,4.927684,15.495945,0.166953
0.826385,1.096647,15.484903,0.158076
3.286740,3.557214,15.497030,0.155104
5.743384,6.013785,15.492863,0.152249
1.899161,2.168725,15.444839,0.154020
4.360986,4.631002,15.470811,0.162782
0.531947,0.802004,15.473145,0.156363
2.992972,3.263307,15.489031,0.156596
5.446701,5.716804,15.475791,0.154361
1.600257,1.869412,15.421467,0.155654
4.027580,4.295727,15.363685,0.164236
0.182624,0.450607,15.354285,0.174472
2.616261,2.883998,15.340213,0.181088
5.052771,5.320467,15.337893,0.186987
1.212180,1.480098,15.350561,0.187177
3.663577,3.932217,15.391909,0.183542
6.133938,0.120697,15.466660,0.184394
2.310206,2.580472,15.485097,0.168333
4.771296,5.041881,15.503381,0.162432
0.937411,1.207575,15.479254,0.155610
3.399425,3.669929,15.498767,0.154891
5.850741,6.120947,15.481656,0.154216
2.014049,2.283876,15.459960,0.156584
4.470651,4.740643,15.469419,0.158889
0.640647,0.910638,15.469335,0.159131
3.105617,3.376107,15.497968,0.156045
5.560539,5.830884,15.489640,0.155399
1.706208,1.975195,15.411822,0.155602
4.140076,4.408438,15.376046,0.166278
0.290527,0.558485,15.352851,0.173736
2.722193,2.989847,15.335499,0.181337
5.155640,5.423152,15.327317,0.185062
1.311732,1.579386,15.335425,0.189401
3.762568,4.031014,15.380810,0.187136
6.237183,0.223994,15.469654,0.184499
2.411441,2.681694,15.484332,0.170591
4.871375,5.141886,15.499183,0.163339
1.035481,1.305547,15.473644,0.157293
3.495521,3.765887,15.490865,0.160724
5.948285,6.218510,15.482754,0.154398
2.118743,2.388910,15.479451,0.150214
4.575072,4.845313,15.483652,0.158359
