ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.008543,0.140819,0.141077,9.955503
-0.013405,0.147332,0.147941,9.939808
-0.010180,0.150598,0.150941,9.942314
-0.008072,0.155379,0.155588,9.943030
-0.010403,0.157398,0.157741,9.958076
-0.011632,0.154415,0.154852,9.961625
-0.016835,0.152706,0.153631,9.986341
-0.018886,0.149524,0.150712,9.997046
-0.014243,0.143710,0.144414,10.062225
-0.009359,0.132018,0.132349,10.083016
-0.007397,0.128336,0.128549,10.091662
-0.005311,0.117342,0.117462,10.097265
-0.007007,0.114166,0.114381,10.098001
-0.005613,0.114554,0.114691,10.084368
-0.005346,0.114541,0.114665,10.082811
0.000382,0.116664,0.116664,10.083033
-0.000317,0.120371,0.120371,10.042911
-0.000238,0.122059,0.122059,10.000077
-0.005198,0.125336,0.125443,10.029176
-0.005950,0.129907,0.130044,10.008360
-0.005299,0.132135,0.132242,10.017385
-0.002585,0.129684,0.129710,10.040829
0.001312,0.138501,0.138507,10.018538
-0.003316,0.134994,0.135035,9.997282
-0.004900,0.137820,0.137907,9.989388
-0.009677,0.141065,0.141396,9.961848
-0.005192,0.148165,0.148256,9.954193
-0.008427,0.149939,0.150176,9.958182
-0.007485,0.155261,0.155442,9.958580
-0.012287,0.153784,0.154274,9.954689
-0.013976,0.150581,0.151229,10.002167
-0.017536,0.145673,0.146725,9.982926
-0.015478,0.143169,0.144003,10.001892
-0.011555,0.143358,0.143823,10.051457
-0.007137,0.138506,0.138690,10.092168
-0.007892,0.124525,0.124775,10.085673
-0.005350,0.116255,0.116378,10.113346
-0.004380,0.112906,0.112991,10.082244
-0.004614,0.116315,0.116406,10.065060
-0.002240,0.122757,0.122777,10.076162
-0.001032,0.122566,0.122570,10.062121
-0.003849,0.120709,0.120770,10.032255
-0.002687,0.122710,0.122739,10.035358
-0.004075,0.127680,0.127745,10.031934
-0.000778,0.136672,0.136674,10.008465
-0.001837,0.134466,0.134478,10.034704
0.000472,0.133872,0.133873,10.058189
-0.001025,0.127922,0.127926,10.020877
-0.002538,0.126106,0.126132,10.021793
-0.003360,0.130754,0.130797,9.986322
-0.003710,0.140045,0.140094,9.948202
-0.002491,0.148954,0.148975,9.966345
-0.005548,0.153894,0.153994,9.949217
-0.010271,0.156228,0.156565,9.946050
-0.015208,0.154433,0.155180,9.975711
-0.014556,0.152223,0.152917,9.983947
-0.017142,0.148792,0.149776,9.979134
-0.011354,0.149021,0.149453,10.004884
-0.010388,0.143455,0.143830,10.034843
-0.010700,0.139516,0.139926,10.086792
-0.010759,0.131138,0.131579,10.090832
-0.008364,0.119890,0.120181,10.116777
-0.007607,0.119839,0.120081,10.085818
-0.004603,0.118463,0.118552,10.088345
0.000443,0.118186,0.118186,10.076224
-0.002297,0.120096,0.120118,10.070707
-0.002468,0.119695,0.119721,10.056564
-0.003720,0.123252,0.123308,10.064578
