dbg_omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep.active
104.206932,0.383118,0.280120,0.000000
105.393990,0.352792,0.176973,0.000000
108.375214,-0.074806,0.176973,0.000000
114.896217,0.262222,0.114840,0.000000
115.605957,0.122152,0.114840,0.000000
111.552490,0.093355,0.084922,0.000000
113.255013,0.185969,0.084922,0.000000
112.920502,-0.016103,0.080785,0.000000
105.724449,0.156515,0.080785,0.000000
103.907143,0.071628,0.184186,0.000000
103.321907,0.159234,0.184186,0.000000
98.519218,0.094667,0.206680,0.000000
94.531555,0.141561,0.206680,0.000000
95.384186,0.291448,0.279958,0.000000
96.994041,0.234476,0.279958,0.000000
94.924194,0.321416,0.260787,0.000000
95.846069,0.365995,0.260787,0.000000
101.968918,-0.040758,0.239698,0.000000
102.256081,0.133554,0.239698,0.000000
101.301926,0.167839,0.214475,0.000000
104.963188,0.130074,0.214475,0.000000
104.986069,0.233351,0.162641,0.000000
99.980865,0.205961,0.162641,0.000000
97.800934,0.185318,0.240483,0.000000
98.324303,0.220824,0.240483,0.000000
95.090500,0.206937,0.248496,0.000000
90.099358,0.391775,0.248496,0.000000
91.339874,0.374823,0.329993,0.000000
91.017342,0.666823,0.329993,0.000000
86.595833,0.253455,0.334796,0.000000
88.660980,0.177656,0.334796,0.000000
92.536514,0.397158,0.320644,0.000000
93.574341,0.300168,0.320644,0.000000
94.760582,0.330667,0.291550,0.000000
99.872475,0.132882,0.291550,0.000000
104.455269,0.212767,0.201181,0.000000
102.213753,0.484156,0.201181,0.000000
103.245674,0.079819,0.211326,0.000000
108.134338,0.221720,0.211326,0.000000
105.472313,0.192856,0.147762,0.000000
103.454437,0.063846,0.147762,0.000000
106.238220,0.110014,0.179998,0.000000
106.114395,0.313389,0.179998,0.000000
103.807663,0.042017,0.163958,0.000000
102.620018,0.046012,0.163958,0.000000
104.260292,0.220331,0.193473,0.000000
101.705093,0.344772,0.193473,0.000000
98.930717,0.386121,0.223084,0.000000
103.011002,0.188926,0.223084,0.000000
103.713585,0.265692,0.183137,0.000000
101.448517,0.177628,0.183137,0.000000
102.488327,0.178903,0.213648,0.000000
103.455238,0.323674,0.213648,0.000000
99.571915,0.464289,0.201081,0.000000
97.001892,0.388967,0.201081,0.000000
98.307243,-0.080999,0.249704,0.000000
97.034851,0.226008,0.249704,0.000000
91.328934,0.300049,0.276497,0.000000
91.679527,0.230533,0.276497,0.000000
96.385231,0.181010,0.284126,0.000000
94.032982,0.312876,0.284126,0.000000
94.884445,0.210101,0.292665,0.000000
103.186600,0.499680,0.292665,0.000000
105.735420,0.302531,0.177979,0.000000
105.873322,0.373231,0.177979,0.000000
109.563454,0.271321,0.156386,0.000000
114.095215,0.201699,0.156386,0.000000
112.174332,0.169874,0.085634,0.000000
