file,frequency_hz,gain_db,phase_deg
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,4.136549141084,0.453181845654334,-0.219762987166888
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,4.57034378456735,0.245876283128786,-3.29794152704349
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,5.04962992018502,0.499001316354464,-2.42223775071244
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,5.57917818281619,0.313677731560294,1.39509883498221
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,6.16425949774785,-0.168589200932421,-0.675109042919701
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,6.81069754549303,0.487738441740562,-0.535802043731877
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,7.52492672852792,0.167447184308317,-1.49063398024484
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,8.31405621692671,-0.0759764411384841,-0.0962099714265605
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,9.18594071038086,0.063898910844182,-0.236666418014892
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,10.1492586209411,0.081634332304285,4.73479475696959
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,11.2135984546842,0.308636622211782,4.40735076436823
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,12.389554252115,-0.409948524106299,5.28220221716529
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,13.6888310372822,0.568468909267717,1.43355675043296
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,15.1243613252085,-0.0612959170288882,-2.29651164206498
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,16.7104338473067,0.734549602995077,-4.26277578878145
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,18.4628357760663,0.17379835510998,-8.66936608016093
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,20.3990098646622,0.0514886639454139,-1.96016037059169
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,22.5382280655937,0.997836567683359,-4.5840880710831
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,24.9017833564898,0.404339154870551,-9.48037302393254
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,27.5132016824418,1.1701121891523,-5.97979570646129
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,30.3984761244596,0.397659662587654,0.628760576031596
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,33.5863256248747,-0.0879826569963642,-2.6463034085848
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,37.1084808449478,-0.126002739864438,-5.66285944867678
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,41,0.840340178044365,-7.71973503182542
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,1.25,0.110493226725122,-0.334470933238265
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,1.4087098499467,0.0731830628207009,-0.400359542944756
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,1.58757075306948,0.0332969521783597,-0.633154501903562
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,1.78914124586902,0.149361861106775,-0.608972788916816
