theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
4.422208,4.800413,21.669548,0.270371
2.337737,2.715890,21.666550,0.265367
0.261256,0.639640,21.679787,0.271247
4.504222,4.884051,21.762629,0.266503
2.402304,2.780790,21.685659,0.258057
0.305376,0.683181,21.646662,0.266802
4.467347,4.843694,21.563066,0.278373
2.372603,2.748969,21.564180,0.277192
0.337398,0.716224,21.705135,0.284213
4.523883,4.901961,21.662304,0.282270
2.451619,2.830085,21.684479,0.261586
0.360879,0.738873,21.657438,0.271014
4.566639,4.944855,21.670151,0.270213
2.522206,2.901963,21.758467,0.268374
0.444992,0.824345,21.735300,0.257932
4.619463,4.997437,21.656313,0.260188
2.506512,2.883239,21.584820,0.274077
0.408788,0.785436,21.580357,0.272949
4.605048,4.982149,21.606281,0.289518
2.544700,2.922839,21.665791,0.288958
0.469790,0.848293,21.686625,0.271643
4.669659,5.048023,21.678673,0.270227
2.586091,2.964446,21.678139,0.264550
0.508815,0.887369,21.689569,0.265934
4.747671,5.127513,21.763390,0.257434
2.636943,3.015101,21.666878,0.265227
0.541693,0.919354,21.638390,0.272950
4.701357,5.077629,21.558790,0.273651
2.602920,2.979141,21.555887,0.286006
0.561255,0.939753,21.686304,0.280930
4.752841,5.130943,21.663652,0.260584
2.669881,3.047999,21.664570,0.266193
0.568358,0.945708,21.620510,0.272688
4.781922,5.160047,21.664972,0.270384
2.726583,3.105924,21.734684,0.270493
0.638609,1.017281,21.696333,0.268510
4.820735,5.198577,21.648785,0.268209
2.707869,3.084581,21.584015,0.267579
0.611884,0.988650,21.587065,0.283654
4.815318,5.192803,21.628305,0.286048
2.755324,3.133822,21.686325,0.259591
0.667769,1.046015,21.671862,0.267438
4.873909,5.252321,21.681398,0.262848
2.776772,3.154654,21.650999,0.267830
0.700753,1.078962,21.669769,0.263989
4.934241,5.313586,21.734886,0.262935
2.816445,3.193978,21.631037,0.261860
0.724089,1.101459,21.621704,0.265904
4.880902,5.256909,21.543631,0.282918
2.781775,3.157821,21.545805,0.277636
0.734092,1.112221,21.665207,0.287192
4.919863,5.297453,21.634291,0.287836
2.848754,3.226909,21.666708,0.270424
0.752643,1.130171,21.630754,0.269173
4.965598,5.343763,21.667292,0.269811
2.913466,3.292833,21.736103,0.267051
0.843321,1.222688,21.736139,0.254483
5.006718,5.384273,21.632311,0.261933
2.899430,3.276086,21.580805,0.275672
0.802211,1.178816,21.577868,0.272738
5.001574,5.378711,21.608360,0.286736
2.938983,3.317045,21.661386,0.286760
0.852139,1.230052,21.652784,0.270756
5.063920,5.442299,21.679527,0.270596
2.970159,3.348073,21.652885,0.272420
0.910289,1.289164,21.707954,0.270228
5.138197,5.517712,21.744598,0.259196
3.034034,3.412146,21.664207,0.263508
0.943650,1.321378,21.642204,0.275004
5.102454,5.478659,21.554955,0.273612
3.024085,3.400961,21.593410,0.284174
0.974936,1.353421,21.685570,0.281751
5.178095,5.556529,21.682642,0.260731
3.099668,3.478073,21.681057,0.267500
1.004668,1.382301,21.636755,0.263276
5.225928,5.604455,21.688047,0.262319
3.172771,3.552246,21.742357,0.260245
1.087377,1.466157,21.702515,0.261649
5.261952,5.639485,21.631010,0.267036
3.151917,3.528441,21.573259,0.270380
1.050838,1.427133,21.560162,0.293233
5.272768,5.650620,21.649300,0.295595
3.202350,3.580620,21.673307,0.263608
1.122766,1.501080,21.675840,0.262680
5.338070,5.716817,21.700594,0.262003
3.237956,3.615881,21.653509,0.263517
1.188993,1.568300,21.732748,0.266490
5.401548,5.780749,21.726631,0.266101
3.300929,3.679031,21.663647,0.263775
1.207021,1.584624,21.635096,0.261870
5.369454,5.745783,21.562098,0.278440
