raw21,omega_pll_rad_s,iq_ref_a,dbg_iq_a
1846696.000000,91.598656,0.333757,0.377958
1831176.000000,91.216766,0.333757,0.364716
1817084.000000,87.012764,0.322381,0.064348
1801597.000000,88.813957,0.322381,0.265768
1785259.000000,92.766037,0.325788,0.438207
1769517.000000,93.650673,0.325788,0.317626
1753729.000000,94.556664,0.287912,0.214316
1736463.000000,99.644234,0.287912,0.560139
1718617.000000,104.448196,0.208264,0.255143
1702471.000000,102.208237,0.208264,0.169297
1685420.000000,103.353004,0.207282,0.466931
1666894.000000,108.154221,0.207282,0.164969
1650265.000000,105.237068,0.143876,0.230850
1633465.000000,103.686768,0.143876,0.169746
1615317.000000,106.511261,0.182739,0.112641
1598008.000000,105.605453,0.182739,0.283636
1580987.000000,103.922585,0.172259,0.197087
1563978.000000,102.902145,0.172259,0.174606
1546161.000000,104.636879,0.192295,0.430786
1529585.000000,101.899353,0.192295,0.161747
1513369.000000,99.168327,0.214327,0.241984
1495194.000000,103.455048,0.214327,0.099553
1477796.000000,103.890038,0.182788,0.304430
1461308.000000,101.499458,0.182788,0.196651
1443855.000000,102.907578,0.210267,0.229178
1426346.000000,103.824089,0.210267,0.306164
1410337.000000,99.851707,0.190046,0.094088
1394346.000000,97.258141,0.190046,0.257717
1377428.000000,98.452263,0.250597,0.353319
1361258.000000,97.026260,0.250597,0.269206
1346707.000000,91.326370,0.264841,0.221403
1330838.000000,91.949425,0.264841,0.281295
1313761.000000,96.139160,0.292087,0.197953
1298569.000000,93.395554,0.292087,0.288618
1282395.000000,94.906036,0.294671,0.388107
1263844.000000,103.237823,0.294671,0.255523
1246290.000000,105.651436,0.183116,0.394093
1229194.000000,105.631683,0.183116,0.156797
1210787.000000,109.332191,0.161911,0.266183
1191458.000000,114.175858,0.161911,0.272116
1173817.000000,111.772652,0.082429,0.161438
1156293.000000,109.492355,0.082429,0.088864
1137217.000000,112.375282,0.126683,-0.060433
1119935.000000,108.447319,0.126683,0.086718
1103978.000000,101.796196,0.155465,0.037734
1086607.000000,101.767891,0.155465,0.158666
1069763.000000,100.267227,0.206941,0.320186
1054209.000000,95.541389,0.206941,0.092621
1038617.000000,92.876816,0.278447,0.275484
1021692.000000,95.557503,0.278447,0.211285
1005286.000000,96.087700,0.264604,0.187543
989980.000000,93.329910,0.264604,0.268131
973266.000000,96.142136,0.291584,0.283230
955416.000000,101.483604,0.291584,0.185715
939294.000000,99.826897,0.209057,0.143210
921766.000000,103.036537,0.209057,0.034487
903733.000000,106.394318,0.181290,0.018127
887373.000000,103.205872,0.181290,0.326965
871951.000000,98.011635,0.202992,0.224410
855691.000000,97.041283,0.202992,0.129931
839129.000000,97.407684,0.252296,0.197014
824260.000000,92.491951,0.252296,0.230132
809807.000000,88.304466,0.313218,0.278727
793661.000000,90.980904,0.313218,0.130124
778864.000000,88.777435,0.311454,0.388960
765016.000000,84.852097,0.311454,0.128951
749076.000000,88.965752,0.374581,0.215188
733189.000000,91.678993,0.374581,0.461782
717993.000000,91.547661,0.306446,0.262394
702555.000000,92.345673,0.306446,0.303246
685306.000000,98.435692,0.292815,0.513427
668117.000000,102.034195,0.292815,0.310126
652393.000000,99.694214,0.207550,0.256261
634692.000000,104.023460,0.207550,0.286012
616574.000000,107.610237,0.170785,0.146627
600461.000000,103.581055,0.170785,0.177168
583351.000000,103.757973,0.194553,0.221644
565280.000000,106.495346,0.194553,0.176251
548138.000000,105.236702,0.153419,0.156341
531789.000000,101.905823,0.153419,0.253231
514543.000000,102.396362,0.207217,0.130967
496828.000000,104.093323,0.207217,0.377862
480595.000000,100.683304,0.186937,0.299759
463899.000000,100.035599,0.186937,0.143624
445496.000000,104.822029,0.215555,0.246952
428697.000000,103.022438,0.215555,0.179305
412485.000000,100.170815,0.204527,0.111323
394111.000000,104.950401,0.204527,0.211489
375935.000000,107.334869,0.163408,0.127369
360404.000000,100.789284,0.163408,0.406262
344634.000000,97.057930,0.227672,0.206066
327778.000000,97.966446,0.227672,0.307563
312217.000000,94.680817,0.245689,0.124029
297815.000000,89.302528,0.245689,0.231593
281424.000000,92.226570,0.332554,0.321341
264930.000000,94.633522,0.332554,0.318056
249880.000000,92.146034,0.281814,0.280016
233193.000000,95.805847,0.281814,0.322634
215173.000000,102.255585,0.250224,0.184421
197588.000000,105.175812,0.250224,0.192121
180067.000000,106.773430,0.170364,0.338372
160865.000000,112.740623,0.170364,0.077687
141660.000000,116.081276,0.085215,0.196039
124077.000000,112.764816,0.085215,0.039443
106029.000000,111.713615,0.105535,0.061608
86766.000000,114.197784,0.105535,0.045202
69831.000000,108.400650,0.086440,0.030641
53191.000000,103.741669,0.086440,-0.136336
35563.000000,103.580460,0.188508,0.232214
18927.000000,100.583755,0.188508,0.075296
3547.000000,94.994995,0.229752,0.080601
2084603.000000,93.892998,0.229752,0.287376
2067607.000000,96.317863,0.280820,0.288467
2051516.000000,95.428268,0.280820,0.231646
2035946.000000,93.595009,0.273107,0.222280
2018314.000000,99.016945,0.273107,0.231907
2000609.000000,102.927361,0.222557,0.165616
1984466.000000,100.731056,0.222557,0.178873
1967118.000000,102.832397,0.217675,0.193152
