lut_index,lut_raw21,ideal_raw21,corr_error_counts,corr_error_deg
197,191591,201728,-10137,-1.74013137817383
198,192584,202752,-10168,-1.74545288085938
199,193525,203776,-10251,-1.75970077514648
200,194504,204800,-10296,-1.76742553710938
201,195434,205824,-10390,-1.78356170654297
202,196377,206848,-10471,-1.79746627807617
203,197328,207872,-10544,-1.80999755859375
204,198276,208896,-10620,-1.82304382324219
205,199211,209920,-10709,-1.83832168579102
206,200148,210944,-10796,-1.85325622558594
207,201103,211968,-10865,-1.8651008605957
208,202068,212992,-10924,-1.87522888183594
209,203021,214016,-10995,-1.88741683959961
210,204016,215040,-11024,-1.89239501953125
211,205027,216064,-11037,-1.89462661743164
212,206029,217088,-11059,-1.89840316772461
213,207008,218112,-11104,-1.9061279296875
214,207972,219136,-11164,-1.91642761230469
215,208953,220160,-11207,-1.92380905151367
216,209946,221184,-11238,-1.92913055419922
217,210941,222208,-11267,-1.93410873413086
218,211936,223232,-11296,-1.9390869140625
219,212894,224256,-11362,-1.95041656494141
220,213833,225280,-11447,-1.96500778198242
221,214790,226304,-11514,-1.97650909423828
222,215720,227328,-11608,-1.99264526367188
223,216682,228352,-11670,-2.00328826904297
224,217642,229376,-11734,-2.01427459716797
225,218588,230400,-11812,-2.02766418457031
226,219521,231424,-11903,-2.04328536987305
227,220443,232448,-12005,-2.06079483032227
228,221382,233472,-12090,-2.07538604736328
229,222345,234496,-12151,-2.08585739135742
230,223333,235520,-12187,-2.09203720092773
231,224339,236544,-12205,-2.09512710571289
232,225339,237568,-12229,-2.09924697875977
233,226341,238592,-12251,-2.10302352905273
234,227350,239616,-12266,-2.10559844970703
235,228357,240640,-12283,-2.10851669311523
236,229373,241664,-12291,-2.10988998413086
237,230426,242688,-12262,-2.10491180419922
238,231512,243712,-12200,-2.09426879882812
239,232579,244736,-12157,-2.08688735961914
240,233679,245760,-12081,-2.0738410949707
241,234788,246784,-11996,-2.05924987792969
242,235906,247808,-11902,-2.04311370849609
243,237046,248832,-11786,-2.02320098876953
244,238225,249856,-11631,-1.9965934753418
245,239425,250880,-11455,-1.96638107299805
246,240609,251904,-11295,-1.93891525268555
247,241771,252928,-11157,-1.91522598266602
248,242929,253952,-11023,-1.8922233581543
249,244097,254976,-10879,-1.86750411987305
250,245246,256000,-10754,-1.84604644775391
251,246373,257024,-10651,-1.82836532592773
252,247497,258048,-10551,-1.81119918823242
253,248580,259072,-10492,-1.80107116699219
254,249664,260096,-10432,-1.790771484375
255,250747,261120,-10373,-1.78064346313477
256,251798,262144,-10346,-1.77600860595703
257,252879,263168,-10289,-1.7662239074707
258,253905,264192,-10287,-1.7658805847168
259,254939,265216,-10277,-1.76416397094727
260,255990,266240,-10250,-1.75952911376953
261,257048,267264,-10216,-1.75369262695312
262,258108,268288,-10180,-1.74751281738281
263,259164,269312,-10148,-1.74201965332031
264,260210,270336,-10126,-1.73824310302734
265,261268,271360,-10092,-1.73240661621094
266,262272,272384,-10112,-1.73583984375
267,263307,273408,-10101,-1.73395156860352
268,264341,274432,-10091,-1.73223495483398
269,265364,275456,-10092,-1.73240661621094
270,266394,276480,-10086,-1.73137664794922
271,267431,277504,-10073,-1.72914505004883
272,268449,278528,-10079,-1.73017501831055
273,269470,279552,-10082,-1.73069000244141
274,270488,280576,-10088,-1.73171997070312
275,271546,281600,-10054,-1.72588348388672
276,272590,282624,-10034,-1.72245025634766
277,273627,283648,-10021,-1.72021865844727
278,274664,284672,-10008,-1.71798706054688
279,275699,285696,-9997,-1.71609878540039
280,276740,286720,-9980,-1.71318054199219
281,277796,287744,-9948,-1.70768737792969
282,278854,288768,-9914,-1.70185089111328
283,279902,289792,-9890,-1.69773101806641
284,280939,290816,-9877,-1.69549942016602
285,282004,291840,-9836,-1.68846130371094
286,283071,292864,-9793,-1.68107986450195
287,284162,293888,-9726,-1.66957855224609
288,285231,294912,-9681,-1.6618537902832
289,286340,295936,-9596,-1.64726257324219
290,287429,296960,-9531,-1.63610458374023
291,288529,297984,-9455,-1.6230583190918
292,289696,299008,-9312,-1.5985107421875
293,290859,300032,-9173,-1.57464981079102
294,292007,301056,-9049,-1.55336380004883
295,293161,302080,-8919,-1.53104782104492
296,294310,303104,-8794,-1.50959014892578
297,295456,304128,-8672,-1.4886474609375
298,296589,305152,-8563,-1.46993637084961
299,297761,306176,-8415,-1.44453048706055
300,298942,307200,-8258,-1.41757965087891
301,300077,308224,-8147,-1.39852523803711
302,301219,309248,-8029,-1.37826919555664
303,302384,310272,-7888,-1.35406494140625
304,303553,311296,-7743,-1.32917404174805
305,304742,312320,-7578,-1.30084991455078
306,305921,313344,-7423,-1.27424240112305
307,307088,314368,-7280,-1.24969482421875
308,308249,315392,-7143,-1.22617721557617
309,309397,316416,-7019,-1.20489120483398
310,310558,317440,-6882,-1.18137359619141
311,311709,318464,-6755,-1.15957260131836
312,312814,319488,-6674,-1.14566802978516
313,313906,320512,-6606,-1.13399505615234
314,314971,321536,-6565,-1.12695693969727
315,316048,322560,-6512,-1.11785888671875
316,317120,323584,-6464,-1.109619140625
317,318175,324608,-6433,-1.10429763793945
318,319205,325632,-6427,-1.10326766967773
319,320212,326656,-6444,-1.10618591308594
320,321216,327680,-6464,-1.109619140625
321,322241,328704,-6463,-1.10944747924805
322,323278,329728,-6450,-1.10721588134766
323,324318,330752,-6434,-1.10446929931641
324,325338,331776,-6438,-1.10515594482422
325,326349,332800,-6451,-1.10738754272461
326,327354,333824,-6470,-1.11064910888672
327,328370,334848,-6478,-1.11202239990234
328,329358,335872,-6514,-1.11820220947266
329,330364,336896,-6532,-1.12129211425781
330,331387,337920,-6533,-1.12146377563477
331,332415,338944,-6529,-1.12077713012695
332,333433,339968,-6535,-1.12180709838867
333,334470,340992,-6522,-1.11957550048828
334,335519,342016,-6497,-1.11528396606445
335,336577,343040,-6463,-1.10944747924805
336,337646,344064,-6418,-1.10172271728516
337,338765,345088,-6323,-1.08541488647461
338,339874,346112,-6238,-1.07082366943359
339,340976,347136,-6160,-1.05743408203125
340,342066,348160,-6094,-1.04610443115234
341,343159,349184,-6025,-1.03425979614258
342,344245,350208,-5963,-1.02361679077148
343,345333,351232,-5899,-1.01263046264648
344,346412,352256,-5844,-1.00318908691406
345,347491,353280,-5789,-0.993747711181641
346,348551,354304,-5753,-0.987567901611328
347,349607,355328,-5721,-0.982074737548828
348,350646,356352,-5706,-0.979499816894531
349,351685,357376,-5691,-0.976924896240234
350,352755,358400,-5645,-0.969028472900391
351,353822,359424,-5602,-0.961647033691406
352,354889,360448,-5559,-0.954265594482422
353,355975,361472,-5497,-0.943622589111328
354,357068,362496,-5428,-0.931777954101562
355,358173,363520,-5347,-0.917873382568359
356,359286,364544,-5258,-0.902595520019531
357,360414,365568,-5154,-0.884742736816406
358,361528,366592,-5064,-0.869293212890625
359,362614,367616,-5002,-0.858650207519531
360,363723,368640,-4917,-0.844058990478516
361,364832,369664,-4832,-0.8294677734375
362,365960,370688,-4728,-0.811614990234375
363,367078,371712,-4634,-0.795478820800781
364,368178,372736,-4558,-0.782432556152344
365,369271,373760,-4489,-0.770587921142578
366,370338,374784,-4446,-0.763206481933594
367,371445,375808,-4363,-0.748958587646484
368,372531,376832,-4301,-0.738315582275391
369,373580,377856,-4276,-0.734024047851562
370,374603,378880,-4277,-0.734195709228516
371,375595,379904,-4309,-0.739688873291016
372,376581,380928,-4347,-0.746212005615234
373,377548,381952,-4404,-0.755996704101562
374,378508,382976,-4468,-0.766983032226562
375,379468,384000,-4532,-0.777969360351562
376,380377,385024,-4647,-0.797710418701172
377,381295,386048,-4753,-0.815906524658203
378,382239,387072,-4833,-0.829639434814453
379,383166,388096,-4930,-0.846290588378906
380,384079,389120,-5041,-0.865345001220703
381,384988,390144,-5156,-0.885086059570312
382,385916,391168,-5252,-0.901565551757812
383,386815,392192,-5377,-0.923023223876953
384,387721,393216,-5495,-0.943279266357422
385,388623,394240,-5617,-0.964221954345703
386,389513,395264,-5751,-0.987224578857422
387,390403,396288,-5885,-1.01022720336914
388,391329,397312,-5983,-1.02705001831055
389,392244,398336,-6092,-1.04576110839844
390,393148,399360,-6212,-1.06636047363281
391,394041,400384,-6343,-1.08884811401367
392,394947,401408,-6461,-1.10910415649414
393,395830,402432,-6602,-1.13330841064453
394,396735,403456,-6721,-1.15373611450195
395,397657,404480,-6823,-1.17124557495117
396,398575,405504,-6929,-1.1894416809082
397,399489,406528,-7039,-1.20832443237305
398,400419,407552,-7133,-1.22446060180664
399,401362,408576,-7214,-1.23836517333984
400,402329,409600,-7271,-1.24814987182617
401,403315,410624,-7309,-1.25467300415039
402,404326,411648,-7322,-1.25690460205078
403,405379,412672,-7293,-1.25192642211914
404,406423,413696,-7273,-1.24849319458008
405,407465,414720,-7255,-1.24540328979492
406,408516,415744,-7228,-1.24076843261719
407,409585,416768,-7183,-1.2330436706543
408,410657,417792,-7135,-1.22480392456055
409,411743,418816,-7073,-1.21416091918945
410,412820,419840,-7020,-1.20506286621094
411,413896,420864,-6968,-1.19613647460938
412,414942,421888,-6946,-1.19235992431641
413,415993,422912,-6919,-1.18772506713867
414,417072,423936,-6864,-1.17828369140625
415,418137,424960,-6823,-1.17124557495117
416,419183,425984,-6801,-1.1674690246582
417,420232,427008,-6776,-1.16317749023438
418,421262,428032,-6770,-1.16214752197266
419,422303,429056,-6753,-1.15922927856445
420,423375,430080,-6705,-1.1509895324707
421,424438,431104,-6666,-1.14429473876953
422,425510,432128,-6618,-1.13605499267578
423,426547,433152,-6605,-1.13382339477539
424,427579,434176,-6597,-1.13245010375977
425,428609,435200,-6591,-1.13142013549805
426,429609,436224,-6615,-1.13554000854492
427,430618,437248,-6630,-1.13811492919922
428,431631,438272,-6641,-1.1400032043457
429,432619,439296,-6677,-1.14618301391602
430,433605,440320,-6715,-1.15270614624023
431,434595,441344,-6749,-1.15854263305664
432,435578,442368,-6790,-1.16558074951172
433,436564,443392,-6828,-1.17210388183594
434,437545,444416,-6871,-1.17948532104492
435,438559,445440,-6881,-1.18120193481445
436,439547,446464,-6917,-1.18738174438477
437,440514,447488,-6974,-1.19716644287109
438,441476,448512,-7036,-1.20780944824219
439,442427,449536,-7109,-1.22034072875977
440,443359,450560,-7201,-1.23613357543945
441,444284,451584,-7300,-1.25312805175781
442,445211,452608,-7397,-1.26977920532227
443,446134,453632,-7498,-1.28711700439453
444,447034,454656,-7622,-1.30840301513672
445,447924,455680,-7756,-1.33140563964844
446,448814,456704,-7890,-1.35440826416016
447,449692,457728,-8036,-1.37947082519531
448,450575,458752,-8177,-1.4036750793457
449,451449,459776,-8327,-1.42942428588867
450,452332,460800,-8468,-1.45362854003906
451,453216,461824,-8608,-1.4776611328125
452,454117,462848,-8731,-1.49877548217773
453,455024,463872,-8848,-1.51885986328125
454,455965,464896,-8931,-1.53310775756836
455,456925,465920,-8995,-1.54409408569336
456,457894,466944,-9050,-1.55353546142578
457,458887,467968,-9081,-1.55885696411133
458,459910,468992,-9082,-1.55902862548828
459,460942,470016,-9074,-1.55765533447266
460,461965,471040,-9075,-1.55782699584961
461,462977,472064,-9087,-1.55988693237305
462,464016,473088,-9072,-1.55731201171875
463,465060,474112,-9052,-1.55387878417969
464,466127,475136,-9009,-1.5464973449707
465,467215,476160,-8945,-1.5355110168457
466,468292,477184,-8892,-1.52641296386719
467,469364,478208,-8844,-1.51817321777344
468,470435,479232,-8797,-1.51010513305664
469,471556,480256,-8700,-1.49345397949219
470,472691,481280,-8589,-1.47439956665039
471,473793,482304,-8511,-1.46100997924805
472,474891,483328,-8437,-1.44830703735352
473,475988,484352,-8364,-1.43577575683594
474,477067,485376,-8309,-1.42633438110352
475,478153,486400,-8247,-1.41569137573242
476,479227,487424,-8197,-1.40710830688477
477,480294,488448,-8154,-1.39972686767578
478,481317,489472,-8155,-1.39989852905273
479,482336,490496,-8160,-1.4007568359375
480,483373,491520,-8147,-1.39852523803711
481,484400,492544,-8144,-1.39801025390625
482,485418,493568,-8150,-1.39904022216797
483,486423,494592,-8169,-1.40230178833008
484,487415,495616,-8201,-1.40779495239258
485,488389,496640,-8251,-1.41637802124023
486,489368,497664,-8296,-1.42410278320312
487,490372,498688,-8316,-1.42753601074219
488,491377,499712,-8335,-1.4307975769043
489,492358,500736,-8378,-1.43817901611328
490,493329,501760,-8431,-1.4472770690918
491,494257,502784,-8527,-1.4637565612793
492,495196,503808,-8612,-1.47834777832031
493,496107,504832,-8725,-1.49774551391602
494,497041,505856,-8815,-1.5131950378418
495,497976,506880,-8904,-1.52847290039062
496,498908,507904,-8996,-1.54426574707031
497,499831,508928,-9097,-1.56160354614258
498,500777,509952,-9175,-1.57499313354492
499,501725,510976,-9251,-1.58803939819336
500,502690,512000,-9310,-1.59816741943359
501,503666,513024,-9358,-1.60640716552734
502,504666,514048,-9382,-1.61052703857422
503,505693,515072,-9379,-1.61001205444336
504,506709,516096,-9387,-1.61138534545898
505,507702,517120,-9418,-1.61670684814453
506,508683,518144,-9461,-1.62408828735352
507,509699,519168,-9469,-1.62546157836914
508,510715,520192,-9477,-1.62683486938477
509,511740,521216,-9476,-1.62666320800781
510,512754,522240,-9486,-1.62837982177734
511,513777,523264,-9487,-1.6285514831543
512,514753,524288,-9535,-1.63679122924805
513,515739,525312,-9573,-1.64331436157227
514,516757,526336,-9579,-1.64434432983398
515,517778,527360,-9582,-1.64485931396484
516,518779,528384,-9605,-1.64880752563477
517,519770,529408,-9638,-1.65447235107422
518,520758,530432,-9674,-1.66065216064453
519,521762,531456,-9694,-1.66408538818359
520,522778,532480,-9702,-1.66545867919922
521,523824,533504,-9680,-1.66168212890625
522,524868,534528,-9660,-1.65824890136719
523,525900,535552,-9652,-1.65687561035156
524,526956,536576,-9620,-1.65138244628906
525,527993,537600,-9607,-1.64915084838867
526,529032,538624,-9592,-1.64657592773438
527,530071,539648,-9577,-1.64400100708008
528,531125,540672,-9547,-1.63885116577148
529,532197,541696,-9499,-1.63061141967773
530,533257,542720,-9463,-1.62443161010742
531,534340,543744,-9404,-1.61430358886719
532,535415,544768,-9353,-1.60554885864258
533,536477,545792,-9315,-1.59902572631836
534,537556,546816,-9260,-1.58958435058594
535,538667,547840,-9173,-1.57464981079102
536,539770,548864,-9094,-1.56108856201172
537,540846,549888,-9042,-1.55216217041016
538,541895,550912,-9017,-1.54787063598633
539,542946,551936,-8990,-1.54323577880859
540,543962,552960,-8998,-1.54460906982422
541,544982,553984,-9002,-1.54529571533203
542,546003,555008,-9005,-1.54581069946289
543,546986,556032,-9046,-1.55284881591797
544,547935,557056,-9121,-1.56572341918945
545,548881,558080,-9199,-1.5791130065918
546,549817,559104,-9287,-1.59421920776367
547,550754,560128,-9374,-1.60915374755859
548,551667,561152,-9485,-1.62820816040039
549,552604,562176,-9572,-1.64314270019531
550,553520,563200,-9680,-1.66168212890625
551,554436,564224,-9788,-1.68022155761719
552,555361,565248,-9887,-1.69721603393555
553,556312,566272,-9960,-1.70974731445312
554,557281,567296,-10015,-1.71918869018555
555,558229,568320,-10091,-1.73223495483398
556,559187,569344,-10157,-1.74356460571289
557,560173,570368,-10195,-1.75008773803711
558,561128,571392,-10264,-1.76193237304688
559,562097,572416,-10319,-1.7713737487793
560,563029,573440,-10411,-1.78716659545898
561,563971,574464,-10493,-1.80124282836914
562,564905,575488,-10583,-1.81669235229492
563,565844,576512,-10668,-1.83128356933594
564,566835,577536,-10701,-1.83694839477539
565,567799,578560,-10761,-1.84724807739258
566,568757,579584,-10827,-1.85857772827148
567,569738,580608,-10870,-1.86595916748047
568,570710,581632,-10922,-1.87488555908203
569,571730,582656,-10926,-1.87557220458984
570,572767,583680,-10913,-1.87334060668945
571,573783,584704,-10921,-1.87471389770508
572,574790,585728,-10938,-1.87763214111328
573,575766,586752,-10986,-1.88587188720703
574,576768,587776,-11008,-1.8896484375
575,577768,588800,-11032,-1.89376831054688
576,578791,589824,-11033,-1.89393997192383
577,579795,590848,-11053,-1.89737319946289
578,580795,591872,-11077,-1.90149307250977
579,581787,592896,-11109,-1.90698623657227
580,582785,593920,-11135,-1.91144943237305
581,583787,594944,-11157,-1.91522598266602
582,584826,595968,-11142,-1.91265106201172
583,585853,596992,-11139,-1.91213607788086
584,586883,598016,-11133,-1.91110610961914
585,587899,599040,-11141,-1.91247940063477
586,588932,600064,-11132,-1.91093444824219
587,589987,601088,-11101,-1.90561294555664
588,591061,602112,-11051,-1.89702987670898
589,592136,603136,-11000,-1.88827514648438
590,593205,604160,-10955,-1.88055038452148
591,594240,605184,-10944,-1.878662109375
592,595274,606208,-10934,-1.87694549560547
593,596309,607232,-10923,-1.87505722045898
594,597343,608256,-10913,-1.87334060668945
595,598397,609280,-10883,-1.86819076538086
596,599431,610304,-10873,-1.86647415161133
597,600445,611328,-10883,-1.86819076538086
598,601466,612352,-10886,-1.86870574951172
599,602488,613376,-10888,-1.86904907226562
600,603542,614400,-10858,-1.86389923095703
601,604574,615424,-10850,-1.86252593994141
602,605639,616448,-10809,-1.85548782348633
603,606678,617472,-10794,-1.85291290283203
604,607689,618496,-10807,-1.85514450073242
605,608673,619520,-10847,-1.86201095581055
606,609689,620544,-10855,-1.86338424682617
607,610712,621568,-10856,-1.86355590820312
608,611721,622592,-10871,-1.86613082885742
609,612702,623616,-10914,-1.87351226806641
610,613680,624640,-10960,-1.88140869140625
611,614605,625664,-11059,-1.89840316772461
612,615540,626688,-11148,-1.91368103027344
613,616467,627712,-11245,-1.93033218383789
614,617432,628736,-11304,-1.94046020507812
615,618334,629760,-11426,-1.96140289306641
616,619240,630784,-11544,-1.98165893554688
617,620130,631808,-11678,-2.00466156005859
618,621009,632832,-11823,-2.0295524597168
619,621908,633856,-11948,-2.05101013183594
620,622824,634880,-12056,-2.06954956054688
621,623733,635904,-12171,-2.08929061889648
622,624679,636928,-12249,-2.10268020629883
623,625590,637952,-12362,-2.12207794189453
624,626536,638976,-12440,-2.13546752929688
625,627470,640000,-12530,-2.15091705322266
626,628430,641024,-12594,-2.16190338134766
627,629388,642048,-12660,-2.17323303222656
628,630346,643072,-12726,-2.18456268310547
629,631329,644096,-12767,-2.19160079956055
630,632338,645120,-12782,-2.19417572021484
631,633349,646144,-12795,-2.19640731811523
632,634388,647168,-12780,-2.19383239746094
633,635430,648192,-12762,-2.19074249267578
634,636500,649216,-12716,-2.18284606933594
635,637565,650240,-12675,-2.17580795288086
636,638676,651264,-12588,-2.16087341308594
637,639787,652288,-12501,-2.14593887329102
638,640880,653312,-12432,-2.13409423828125
639,641978,654336,-12358,-2.12139129638672
640,643073,655360,-12287,-2.10920333862305
641,644152,656384,-12232,-2.09976196289062
642,645238,657408,-12170,-2.08911895751953
643,646305,658432,-12127,-2.08173751831055
644,647370,659456,-12086,-2.07469940185547
645,648409,660480,-12071,-2.07212448120117
646,649437,661504,-12067,-2.07143783569336
647,650471,662528,-12057,-2.06972122192383
648,651497,663552,-12055,-2.06937789916992
649,652510,664576,-12066,-2.07126617431641
650,653535,665600,-12065,-2.07109451293945
651,654537,666624,-12087,-2.07487106323242
652,655551,667648,-12097,-2.07658767700195
653,656567,668672,-12105,-2.07796096801758
654,657595,669696,-12101,-2.07727432250977
655,658648,670720,-12072,-2.07229614257812
656,659717,671744,-12027,-2.06457138061523
657,660759,672768,-12009,-2.06148147583008
658,661801,673792,-11991,-2.05839157104492
659,662812,674816,-12004,-2.06062316894531
660,663828,675840,-12012,-2.06199645996094
661,664851,676864,-12013,-2.06216812133789
662,665883,677888,-12005,-2.06079483032227
663,666929,678912,-11983,-2.0570182800293
664,667948,679936,-11988,-2.05787658691406
665,668947,680960,-12013,-2.06216812133789
666,669954,681984,-12030,-2.06508636474609
667,670960,683008,-12048,-2.06817626953125
668,672014,684032,-12018,-2.06302642822266
669,673062,685056,-11994,-2.05890655517578
670,674074,686080,-12006,-2.06096649169922
671,675083,687104,-12021,-2.06354141235352
