Id_A,Iq_A,diff_rad_s,pll_rad_s
0.026353,0.283947,-0.479221,-0.273175
0.026353,0.283947,0.000000,-0.287359
0.026353,0.283947,-0.300407,-0.246216
0.026353,0.283947,0.000000,-0.247580
0.026353,0.283947,0.000000,-0.220158
0.026353,0.283947,-1.077652,-0.222752
0.026353,0.283947,0.000000,-0.201209
0.026353,0.283947,0.000000,-0.149024
0.026353,0.283947,0.000000,-0.168042
0.026353,0.283947,0.000000,-0.174267
0.026353,0.283947,-0.059605,-0.200222
0.026353,0.283947,0.000000,-0.192063
0.026353,0.283947,-0.240803,-0.227018
0.026353,0.283947,0.000000,-0.215209
0.026353,0.283947,-0.059605,-0.216100
0.026353,0.283947,-0.300407,-0.203136
0.026353,0.283947,-0.660419,-0.210078
0.026353,0.283947,-0.479221,-0.164062
0.026353,0.283947,0.000000,-0.123099
0.026353,0.283947,-0.360012,-0.134999
0.026353,0.283947,0.000000,-0.116765
0.026353,0.283947,-0.059605,-0.122944
0.026353,0.283947,0.000000,-0.094057
0.026353,0.283947,0.000000,-0.125890
0.026353,0.283947,-0.298023,-0.137409
0.026353,0.283947,0.000000,-0.147605
0.026353,0.283947,-0.898838,-0.193880
0.026353,0.283947,0.000000,-0.183762
0.026353,0.283947,-0.061989,-0.174368
0.026353,0.283947,0.000000,-0.168548
0.026353,0.283947,-0.119209,-0.177706
0.026353,0.283947,0.000000,-0.211144
0.026353,0.283947,0.000000,-0.191520
0.026353,0.283947,0.000000,-0.236838
0.026353,0.283947,-0.898838,-0.252637
0.026353,0.283947,-0.178814,-0.251668
0.026353,0.283947,-1.258850,-0.325231
0.026353,0.283947,-0.598431,-0.283107
0.026353,0.283947,-0.839233,-0.311202
0.026353,0.283947,-0.479221,-0.274530
0.026353,0.283947,-0.240803,-0.295685
0.026353,0.283947,0.000000,-0.245942
0.026353,0.283947,-0.777245,-0.241795
0.026353,0.283947,0.000000,-0.198621
0.026353,0.283947,-0.660419,-0.185453
0.026353,0.283947,-0.660419,-0.140353
0.026353,0.283947,0.000000,-0.119657
0.026353,0.283947,-0.240803,-0.141685
0.026353,0.283947,0.000000,-0.144593
0.026353,0.283947,0.000000,-0.120872
0.026353,0.283947,-0.360012,-0.179064
0.026353,0.283947,0.000000,-0.138714
0.026353,0.283947,0.000000,-0.183128
0.026353,0.283947,-0.178814,-0.207308
0.026353,0.283947,0.000000,-0.197056
0.026353,0.283947,-0.298023,-0.185631
0.026353,0.283947,0.000000,-0.178211
0.026353,0.283947,0.000000,-0.123218
0.026353,0.283947,0.000000,-0.105773
0.026353,0.283947,0.000000,-0.038928
0.026353,0.283947,0.000000,-0.061194
0.026353,0.283947,0.000000,-0.015194
0.026353,0.283947,0.000000,0.004580
0.026353,0.283947,0.000000,0.013830
0.026353,0.283947,0.000000,0.011549
0.026353,0.283947,0.000000,0.040353
0.026353,0.283947,0.000000,0.213628
0.026353,0.283947,0.000000,0.368180
0.026353,0.283947,0.238419,0.421684
0.026353,0.283947,0.300407,0.465896
0.026353,0.283947,0.119209,0.474422
0.026353,0.283947,0.598431,0.471517
0.026353,0.283947,0.958443,0.456826
0.026353,0.283947,0.779629,0.406220
0.026353,0.283947,0.298023,0.341966
0.026353,0.283947,0.717640,0.319660
0.026353,0.283947,0.000000,0.245950
0.026353,0.283947,0.119209,0.223143
0.026353,0.283947,0.178814,0.188770
0.026353,0.283947,0.000000,0.166989
0.026353,0.283947,0.121593,0.155955
0.026353,0.283947,0.000000,0.142820
0.026353,0.283947,0.000000,0.179954
0.026353,0.283947,0.000000,0.139601
0.026353,0.283947,0.360012,0.134426
0.026353,0.283947,0.000000,0.071274
0.026353,0.283947,0.658035,0.081375
0.026353,0.283947,0.000000,0.006868
0.026353,0.283947,0.000000,-0.012347
0.026353,0.283947,0.000000,-0.016736
