dbg_id_a,dbg_iq_a,omega_diff_rad_s,omega_pll_rad_s
0.076854,0.184684,101.032257,101.594879
-0.029390,0.231673,106.115341,103.591637
0.084285,0.220001,99.592209,103.219620
0.032939,0.138727,92.763901,99.118042
-0.071268,0.280179,101.089478,97.387772
0.001995,0.229338,98.810196,98.554253
-0.072475,-0.029643,89.464188,95.809479
0.010944,0.258847,88.624954,90.221947
-0.101100,0.277904,105.581284,92.998512
-0.221932,0.243256,95.453262,96.208237
-0.036365,0.286805,91.199875,93.122818
-0.174259,0.517814,105.881691,96.439011
0.094601,0.204242,107.560158,103.733887
-0.061336,0.335757,101.385117,105.275444
0.083612,0.194588,106.177330,106.196053
-0.099423,0.161043,116.968155,110.727921
-0.200115,0.183990,109.477043,114.258904
0.029332,0.150654,100.545883,110.889206
-0.051017,0.086029,110.192299,109.836304
-0.164518,0.317877,109.596252,112.436813
0.108342,0.063830,94.194412,106.718903
-0.136163,0.247319,101.027489,101.228790
-0.073992,0.136849,103.545189,101.482597
-0.069217,0.036610,94.075203,98.682541
-0.152244,-0.036699,91.319084,94.178604
0.335404,0.383347,97.432137,93.062370
0.035793,0.196809,100.727081,95.688927
-0.116056,0.253578,92.339516,95.324097
-0.094500,0.327970,96.054077,93.203880
0.075696,0.286997,107.078552,97.668373
-0.079466,0.248546,98.991394,101.557785
0.017446,0.413971,97.370148,99.638596
0.079000,0.267450,111.269951,104.076233
-0.058104,0.217458,103.125572,106.432449
-0.123279,0.216242,91.137886,102.116943
0.122769,0.214285,95.515251,97.455208
0.023309,0.153816,100.007057,97.101173
0.054696,0.253239,92.759132,96.829117
0.068219,0.242065,84.486008,91.073860
0.004978,0.233477,99.172592,88.311363
-0.058942,0.345651,96.411705,91.113724
-0.021143,0.323157,81.491470,87.724831
0.079995,0.191102,90.060234,84.843445
-0.214176,0.225696,97.970963,89.876984
0.016469,0.350253,90.723038,91.494308
0.117891,0.232790,89.640617,91.292015
-0.248968,0.420107,100.727081,92.833862
-0.010985,0.360455,107.498169,99.350792
0.071324,0.243167,95.932487,101.440964
-0.133179,0.315794,99.110603,99.438065
0.059976,0.184821,113.489632,105.022362
-0.043135,0.090239,102.286339,107.407074
