raw21,omega_pll,Iq_ref,dbg_iq_a
58295.000000,299.954376,0.318645,0.357774
8013.000000,299.873535,0.318645,0.488879
2055762.000000,300.747406,0.290031,0.336657
2004936.000000,301.141449,0.290031,0.286054
1953277.000000,302.001709,0.162525,0.174416
1904271.000000,302.026825,0.162525,0.186100
1857621.000000,301.839874,0.102574,0.078769
1811995.000000,301.414063,0.102574,0.314265
1764327.000000,301.769073,0.010209,0.094392
1713492.000000,302.093231,0.010209,0.077726
1661952.000000,301.307831,0.144846,-0.062228
1610846.000000,299.254364,0.144846,0.108661
1560258.000000,298.069397,0.477045,0.218197
1509883.000000,297.814667,0.477045,0.373595
1458063.000000,298.173340,0.471935,0.421481
1407729.000000,298.248596,0.471935,0.592643
1359210.000000,298.654541,0.437058,0.516003
1311583.000000,299.016785,0.437058,0.419802
1261976.000000,299.350616,0.398035,0.250549
1209212.000000,299.265869,0.398035,0.484991
1154775.000000,299.864594,0.310081,0.373310
1102634.000000,299.898560,0.310081,0.390318
1053148.000000,300.185944,0.262420,0.202635
1004005.000000,300.842499,0.262420,0.262683
953825.000000,300.674591,0.255892,0.171036
902098.000000,300.632263,0.255892,0.311657
853895.000000,300.502869,0.216490,0.294675
807867.000000,300.464203,0.216490,-0.046322
762845.000000,300.488892,0.191419,0.139913
715978.000000,301.078156,0.191419,0.186148
666634.000000,300.881805,0.164318,0.203265
615425.000000,300.518951,0.164318,0.172001
564764.000000,298.982056,0.342545,0.168145
514496.000000,298.606171,0.342545,-0.032466
464292.000000,297.551544,0.512076,0.467470
413034.000000,297.494629,0.512076,0.404831
361566.000000,297.389893,0.550467,0.405503
313764.000000,297.859833,0.550467,0.561783
266696.000000,298.618530,0.493777,0.469828
217594.000000,299.268036,0.493777,0.454099
164290.000000,299.891449,0.329328,0.375555
109332.000000,299.591125,0.329328,0.327592
56203.000000,300.038269,0.306223,0.574176
6198.000000,299.704285,0.306223,0.389993
2053999.000000,300.046112,0.303904,0.357091
2003140.000000,300.606354,0.303904,0.156864
1951482.000000,301.397919,0.194255,0.217785
1902762.000000,301.236633,0.194255,0.155627
1856204.000000,301.182922,0.132446,0.000146
