raw21,omega_pll_rad_s,Iq_ref,dbg_iq_a
574870.000000,19.080160,0.130011,0.175536
571639.000000,18.946548,0.130011,0.155387
568431.000000,18.413349,0.132279,0.155363
565226.000000,18.024944,0.132279,0.154572
562074.000000,17.724545,0.141502,0.117572
558788.000000,17.904434,0.141502,0.271180
555685.000000,17.757441,0.142311,0.182076
552552.000000,18.037689,0.142311,0.246512
549509.000000,18.254030,0.140011,0.184665
546466.000000,18.528423,0.140011,0.179568
543186.000000,19.566038,0.131155,0.171171
540130.000000,19.501268,0.131155,0.082466
537074.000000,19.336617,0.126052,0.106814
533999.000000,19.044870,0.126052,0.152003
530877.000000,18.929451,0.131397,0.127650
527771.000000,18.719135,0.131397,-0.076234
524664.000000,18.513700,0.133400,0.149752
521599.000000,18.222801,0.133400,0.111772
518478.000000,18.165033,0.137839,0.076668
515422.000000,17.849804,0.137839,0.094682
512391.000000,17.322229,0.142931,0.036482
509422.000000,16.864027,0.142931,0.102861
506541.000000,16.199211,0.153669,0.022319
503742.000000,15.639063,0.153669,0.117485
501036.000000,15.109057,0.165300,-0.215359
498453.000000,14.471786,0.165300,-0.069457
495952.000000,14.110081,0.177097,0.186759
493569.000000,13.728946,0.177097,0.144457
491214.000000,13.583712,0.183189,0.342581
488954.000000,13.420676,0.183189,0.192601
486743.000000,13.343025,0.186561,0.182296
484607.000000,13.180978,0.186561,0.188540
482485.000000,13.066468,0.188576,0.206871
480384.000000,12.997264,0.188576,0.224337
478275.000000,13.007613,0.190149,0.446947
476161.000000,13.035561,0.190149,0.204030
474044.000000,13.031508,0.189707,0.168147
471921.000000,12.935925,0.189707,0.170609
469773.000000,12.828325,0.191540,0.186810
467620.000000,12.546278,0.191540,0.157088
465421.000000,12.339968,0.196015,0.246283
463210.000000,12.204935,0.196015,0.215870
460995.000000,12.004512,0.199385,0.214461
458849.000000,11.624991,0.199385,0.049609
456626.000000,11.571373,0.203227,0.129502
454435.000000,11.456815,0.203227,0.134791
452295.000000,11.358637,0.206194,0.216959
450152.000000,11.428220,0.206194,0.144531
448054.000000,11.509331,0.206150,0.072368
445943.000000,11.643976,0.206150,0.165224
443920.000000,11.532461,0.204751,0.227588
441853.000000,11.662374,0.204751,0.186470
439795.000000,11.847307,0.202386,0.261987
437733.000000,12.044628,0.202386,0.202321
435674.000000,12.210230,0.200275,0.188867
433636.000000,12.298178,0.200275,0.235256
431512.000000,12.597397,0.195778,0.151204
429386.000000,12.840583,0.195778,0.189598
427186.000000,13.347323,0.190878,0.154962
424951.000000,13.861172,0.190878,0.190967
422629.000000,14.417752,0.180548,0.169444
420188.000000,15.071453,0.180548,0.169760
417665.000000,15.722292,0.168305,0.187411
415047.000000,16.260618,0.168305,0.158798
412316.000000,16.669170,0.156996,0.169851
409414.000000,17.119474,0.156996,0.212195
406414.000000,17.413015,0.147593,0.142460
403334.000000,17.422867,0.147593,0.224610
400172.000000,17.415720,0.146308,0.141788
396872.000000,17.621506,0.146308,0.190179
393462.000000,18.012358,0.142961,0.168678
390273.000000,17.759274,0.142961,0.135655
386869.000000,18.215061,0.142229,0.186904
383544.000000,18.507992,0.142229,0.283066
380194.000000,19.118673,0.130640,0.129499
377037.000000,19.179050,0.130640,0.017092
374033.000000,19.024328,0.128890,0.221946
371068.000000,18.968378,0.128890,0.481029
368144.000000,18.943853,0.131080,0.384973
365206.000000,19.016075,0.131080,0.170887
362269.000000,18.929996,0.130194,0.330958
359338.000000,18.732145,0.130194,0.097721
356386.000000,18.715862,0.132949,0.108261
353453.000000,18.592665,0.132949,0.047323
350514.000000,18.492052,0.134443,0.110881
347571.000000,18.522573,0.134443,0.185404
344665.000000,18.269297,0.135967,-0.205623
341795.000000,17.947084,0.135967,0.070903
338998.000000,17.454491,0.142180,-0.032734
336234.000000,16.910404,0.142180,0.346239
333506.000000,16.412418,0.152511,0.123316
330841.000000,15.839789,0.152511,0.021840
328286.000000,15.194173,0.164492,-0.081824
325818.000000,14.773710,0.164492,0.401521
