raw21,omega_pll,Iq_ref,Iq_meas
189042.000000,16.729788,0.152202,0.117705
186254.000000,16.485666,0.152202,0.125672
183370.000000,16.629400,0.153189,0.008574
180530.000000,16.653427,0.153189,0.373200
177768.000000,16.481758,0.154651,0.171127
174959.000000,16.529503,0.154651,-0.180473
172263.000000,16.252102,0.156935,-0.009397
169517.000000,16.227146,0.156935,0.108421
166859.000000,15.991979,0.159526,0.159209
164149.000000,16.002125,0.159526,-0.008472
161653.000000,15.378248,0.165660,0.029574
159237.000000,14.734633,0.165660,0.263617
156896.000000,14.114629,0.178305,0.362402
154655.000000,13.450530,0.178305,-0.084850
152498.000000,12.818928,0.191284,-0.034707
150417.000000,12.252508,0.191284,0.118959
148447.000000,11.627999,0.203227,0.120541
146510.000000,11.196469,0.203227,0.079427
144652.000000,10.775309,0.211796,0.171977
142893.000000,10.280473,0.211796,0.180617
141181.000000,9.892679,0.220673,0.040701
139501.000000,9.651328,0.220673,0.200711
137944.000000,9.185825,0.227800,0.017301
136436.000000,8.784444,0.227800,0.138650
134912.000000,8.623057,0.233491,0.170883
133357.000000,8.723410,0.233491,0.175333
131887.000000,8.582533,0.233961,0.218838
130444.000000,8.450268,0.233961,0.273203
128954.000000,8.561538,0.234235,0.253410
127504.000000,8.538767,0.234235,0.290722
125949.000000,8.845551,0.231456,0.247291
124415.000000,9.020759,0.231456,0.205658
122779.000000,9.468890,0.225278,0.261895
121197.000000,9.604067,0.225278,0.259090
119520.000000,9.983176,0.220186,0.243319
117900.000000,10.011250,0.220186,0.268218
116130.000000,10.470968,0.215353,0.227883
114356.000000,10.731430,0.215353,0.234398
112501.000000,11.119856,0.208903,0.254789
110595.000000,11.503586,0.208903,0.217098
108642.000000,11.863821,0.201495,0.283587
106640.000000,12.190755,0.201495,0.242705
104632.000000,12.363201,0.196527,0.141316
102539.000000,12.680540,0.196527,0.214766
100421.000000,12.925988,0.190920,0.176586
98333.000000,12.924929,0.190920,0.219360
96151.000000,13.148533,0.188713,0.184226
93895.000000,13.500528,0.188713,0.205760
91741.000000,13.368031,0.186535,0.206219
89453.000000,13.651109,0.186535,0.265080
87254.000000,13.557577,0.184654,0.313089
85036.000000,13.492507,0.184654,0.179446
82772.000000,13.582933,0.184414,0.239770
80527.000000,13.567824,0.184414,0.344082
78225.000000,13.710544,0.183151,0.021158
75923.000000,13.802856,0.183151,0.152948
73557.000000,14.056186,0.179704,0.157243
71161.000000,14.308793,0.179704,0.103186
68668.000000,14.740627,0.172862,0.203733
66106.000000,15.237752,0.172862,0.317889
63453.000000,15.810309,0.162157,0.261614
60528.000000,16.987881,0.162157,0.480663
57661.000000,17.561674,0.144618,0.172157
54704.000000,18.088127,0.144618,0.335349
51653.000000,18.619726,0.134001,0.098084
48573.000000,18.953770,0.134001,0.215508
45437.000000,19.247047,0.127685,0.134837
42314.000000,19.313978,0.127685,0.153245
39241.000000,19.120064,0.128914,0.214638
36201.000000,18.824741,0.128914,0.054774
33252.000000,18.306732,0.137014,0.080284
30342.000000,17.840313,0.137014,0.079025
27511.000000,17.256817,0.147491,0.363331
24800.000000,16.549326,0.147491,0.069331
22139.000000,15.955126,0.160498,-0.003595
19635.000000,15.151467,0.160498,0.028045
17114.000000,14.734994,0.172702,0.033101
14621.000000,14.468371,0.172702,0.078074
12221.000000,14.082752,0.179234,0.098589
9725.000000,14.228372,0.179234,0.341746
7335.000000,14.073183,0.179339,0.202435
4950.000000,14.003167,0.179339,0.076637
2546.000000,14.052427,0.179556,0.102908
126.000000,14.175682,0.179556,0.224201
2094840.000000,14.349957,0.176587,0.203307
2092397.000000,14.489617,0.176587,0.192954
2089824.000000,14.965050,0.170436,0.330412
2087335.000000,15.049231,0.170436,0.175374
2084831.000000,15.124765,0.168838,0.248480
2082359.000000,15.047214,0.168838,0.169910
2079857.000000,15.059395,0.169491,0.226186
2077407.000000,14.898620,0.169491,0.126974
2074974.000000,14.727544,0.172812,0.243559
2072606.000000,14.409324,0.172812,0.177222
2070266.000000,14.115496,0.178942,0.199216
2067983.000000,13.763062,0.178942,0.202198
2065760.000000,13.378813,0.186325,0.215514
2063594.000000,12.983534,0.186325,0.204028
2061479.000000,12.607355,0.194063,0.173161
2059399.000000,12.298474,0.194063,0.237029
2057346.000000,12.072958,0.199437,0.232777
2055321.000000,11.891541,0.199437,0.246115
2053208.000000,12.098492,0.199210,0.270142
2051191.000000,11.972967,0.199210,0.218356
2049193.000000,11.870412,0.201522,0.234612
2047201.000000,11.810898,0.201522,0.258367
2045182.000000,11.877058,0.201487,0.254516
2043132.000000,12.039985,0.201487,0.229267
2041039.000000,12.296139,0.197323,0.069702
2038915.000000,12.558878,0.197323,0.193344
2036727.000000,12.925803,0.191047,0.189240
2034510.000000,13.251440,0.191047,0.156425
2032262.000000,13.526238,0.185058,0.170708
2029929.000000,13.919130,0.185058,0.190551
2027630.000000,14.043383,0.179896,0.025772
2025289.000000,14.219549,0.179896,0.040109
2022940.000000,14.327896,0.177058,0.199716
2020559.000000,14.449718,0.177058,0.122135
2018167.000000,14.530972,0.175031,0.202307
2015795.000000,14.492859,0.175031,0.169937
2013380.000000,14.534775,0.174998,0.078293
2011058.000000,14.284224,0.174998,0.243645
2008778.000000,13.977945,0.180577,-0.182244
2006480.000000,13.847862,0.180577,0.218520
2004077.000000,14.091855,0.179447,0.254160
2001641.000000,14.372093,0.179447,0.160736
1999397.000000,13.989292,0.180482,0.179039
1997031.000000,14.023033,0.180482,0.058852
1994733.000000,13.880770,0.181579,0.190783
1992356.000000,14.073676,0.181579,0.310519
1989938.000000,14.297058,0.177423,0.219051
1987390.000000,14.840137,0.177423,0.196419
1984858.000000,15.162075,0.168771,0.177600
1982255.000000,15.551828,0.168771,0.350211
1979499.000000,16.243580,0.157944,0.476166
1976772.000000,16.574827,0.157944,0.274763
1973960.000000,16.977192,0.150588,0.134549
1971052.000000,17.455051,0.150588,0.211778
1968241.000000,17.418924,0.146146,0.151422
1965390.000000,17.443394,0.146146,0.105764
1962573.000000,17.318602,0.147126,0.090733
1959715.000000,17.288719,0.147126,0.123339
1956922.000000,17.053431,0.149757,0.078156
1954238.000000,16.562641,0.149757,0.007816
1951354.000000,16.850021,0.151773,0.168743
1948808.000000,16.009596,0.151773,0.101340
1946286.000000,15.376744,0.166502,0.155589
1943796.000000,14.891787,0.166502,0.149462
1941336.000000,14.538749,0.174887,0.347151
1938925.000000,14.237253,0.174887,0.215041
1936559.000000,13.957409,0.180710,0.214599
1934209.000000,13.772608,0.180710,0.075653
1931907.000000,13.553431,0.184765,0.098044
1929647.000000,13.332069,0.184765,0.063625
1927356.000000,13.352474,0.186791,0.192179
1925113.000000,13.275068,0.186791,0.174940
1922792.000000,13.485659,0.185474,0.182249
1920469.000000,13.670246,0.185474,0.199216
1918148.000000,13.790804,0.182435,0.177470
1915686.000000,14.365059,0.182435,0.196401
1913364.000000,14.271461,0.177635,0.198261
1911037.000000,14.189054,0.177635,0.194607
1908693.000000,14.162266,0.178736,0.200814
1906313.000000,14.243048,0.178736,0.205271
1903880.000000,14.506186,0.175301,0.160285
1901573.000000,14.249808,0.175301,0.191779
1899224.000000,14.178150,0.178590,0.266001
1896969.000000,13.850676,0.178590,0.279923
1894726.000000,13.563520,0.184751,0.156220
1892484.000000,13.406966,0.184751,0.131704
1890331.000000,13.047291,0.189932,0.145856
1888192.000000,12.774330,0.189932,0.199930
1886082.000000,12.539191,0.195038,0.207167
1884036.000000,12.219693,0.195038,0.385910
1881966.000000,12.126819,0.199190,0.323563
1879845.000000,12.245760,0.199190,0.234824
1877689.000000,12.500975,0.195474,0.363610
1875685.000000,12.222988,0.195474,0.330719
1873668.000000,12.065161,0.199861,0.106874
1871615.000000,12.105643,0.199861,0.300981
1869529.000000,12.245544,0.198085,0.164991
1867451.000000,12.322851,0.198085,0.247119
1865215.000000,12.864059,0.191921,0.349414
1862965.000000,13.294371,0.191921,0.296703
1860652.000000,13.750811,0.183066,0.221016
1858285.000000,14.194407,0.183066,0.263885
1855850.000000,14.648886,0.174089,0.295161
1853406.000000,14.922472,0.174089,0.491733
1850930.000000,15.140945,0.169167,-0.171020
