omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep_active
368.430023,0.295715,0.316421,1.000000
369.889465,0.311140,0.326067,1.000000
369.446777,0.377229,0.335956,1.000000
367.004395,0.369413,0.345989,1.000000
366.543579,0.369704,0.356064,1.000000
367.968292,0.316577,0.366078,1.000000
368.568695,0.387983,0.375929,1.000000
368.487671,0.405259,0.385519,1.000000
367.213837,0.381292,0.394748,1.000000
367.675446,0.397733,0.403524,1.000000
368.655426,0.377633,0.411757,1.000000
369.608887,0.390941,0.419362,1.000000
368.191589,0.618840,0.426264,1.000000
367.915955,0.403601,0.432390,1.000000
369.668121,0.406702,0.437679,1.000000
371.099396,0.516646,0.442077,1.000000
371.004303,0.373935,0.445539,1.000000
369.850159,0.423544,0.448028,1.000000
371.324127,0.345882,0.449520,1.000000
371.988159,0.116596,0.450000,1.000000
370.836426,0.438418,0.449460,1.000000
368.807373,0.404323,0.447908,1.000000
369.498962,0.494768,0.445359,1.000000
369.405243,0.331892,0.441838,1.000000
369.917938,0.388565,0.437380,1.000000
369.741821,0.412931,0.432032,1.000000
371.118835,0.394440,0.425847,1.000000
372.496460,0.403766,0.418887,1.000000
372.205017,0.499818,0.411225,1.000000
368.840820,0.352891,0.402937,1.000000
369.687225,0.312511,0.394109,1.000000
372.493256,0.652392,0.384829,1.000000
372.668976,0.396022,0.375194,1.000000
372.303345,0.556703,0.365300,1.000000
370.855927,0.363363,0.355249,1.000000
372.091858,0.284419,0.345143,1.000000
372.196747,0.506155,0.335086,1.000000
369.602570,0.318216,0.325180,1.000000
369.087524,0.301403,0.315527,1.000000
370.520508,0.317367,0.306226,1.000000
371.510864,0.321187,0.297371,1.000000
371.058136,0.414583,0.289053,1.000000
369.514587,0.341765,0.281357,1.000000
369.451477,0.294799,0.274363,1.000000
369.955963,0.340103,0.268142,1.000000
369.982697,0.142399,0.262758,1.000000
368.710175,0.303711,0.258266,1.000000
370.759979,0.216412,0.254713,1.000000
372.790833,0.121761,0.252135,1.000000
371.958496,0.233457,0.250559,1.000000
370.478821,0.298632,0.250001,1.000000
369.860840,0.206910,0.250468,1.000000
371.591675,0.236416,0.251954,1.000000
371.828857,0.250839,0.254445,1.000000
369.499237,0.378460,0.257916,1.000000
369.615875,0.189258,0.262331,1.000000
370.603027,0.205948,0.267646,1.000000
369.623352,0.415462,0.273806,1.000000
368.802643,0.343941,0.280748,1.000000
367.815674,0.180007,0.288401,1.000000
367.356720,0.177449,0.296687,1.000000
369.710358,0.271423,0.305522,1.000000
369.431946,0.663581,0.314813,1.000000
366.985931,0.175177,0.324467,1.000000
368.324310,0.380020,0.334384,1.000000
370.171997,0.214717,0.344462,1.000000
370.447510,0.342235,0.354599,1.000000
369.497345,0.422703,0.364689,1.000000
368.570923,0.332673,0.374628,1.000000
369.397583,0.356792,0.384316,1.000000
369.668518,0.620403,0.393652,1.000000
366.973724,0.382487,0.402540,1.000000
366.565674,0.221564,0.410888,1.000000
368.222260,0.398001,0.418611,1.000000
369.345764,0.309847,0.425628,1.000000
368.655304,0.510047,0.431868,1.000000
367.497528,0.446007,0.437266,1.000000
367.909973,0.462411,0.441765,1.000000
368.636322,0.491433,0.445320,1.000000
370.236206,0.435847,0.447894,1.000000
368.385681,0.355794,0.449459,1.000000
369.073639,0.437292,0.450000,1.000000
370.978210,0.477207,0.449510,1.000000
371.793091,0.516885,0.447994,1.000000
371.253479,0.438803,0.445468,1.000000
370.311768,0.426108,0.441957,1.000000
372.348602,0.388217,0.437497,1.000000
372.598633,0.311625,0.432134,1.000000
370.004974,0.536515,0.425923,1.000000
371.080292,0.400532,0.418928,1.000000
371.469940,0.386072,0.411221,1.000000
371.066528,0.556852,0.402881,1.000000
370.162964,0.314772,0.393994,1.000000
369.595459,0.325053,0.384652,1.000000
370.447845,0.670753,0.374951,1.000000
372.879456,0.374867,0.364991,1.000000
372.364868,0.573870,0.354875,1.000000
369.274719,0.411703,0.344708,1.000000
370.637146,0.245202,0.334595,1.000000
373.261200,0.471725,0.324640,1.000000
372.731781,0.342722,0.314946,1.000000
372.667206,0.447477,0.305614,1.000000
372.631866,0.174392,0.296741,1.000000
373.303741,0.353554,0.288417,1.000000
371.611267,0.283963,0.280730,1.000000
369.174164,0.325936,0.273760,1.000000
369.071899,0.224610,0.267578,1.000000
369.909973,0.293898,0.262250,1.000000
370.109283,0.234464,0.257829,1.000000
369.132599,0.353578,0.254364,1.000000
369.286224,0.174961,0.251889,1.000000
370.324829,0.358587,0.250430,1.000000
369.041473,0.265746,0.250004,1.000000
368.456512,0.251010,0.250615,1.000000
368.192444,0.108922,0.252256,1.000000
369.440918,0.077283,0.254911,1.000000
371.712189,0.302663,0.258553,1.000000
371.427612,0.294871,0.263145,1.000000
370.617401,0.082302,0.268638,1.000000
370.249390,0.309634,0.274977,1.000000
371.156036,0.241098,0.282095,1.000000
369.731384,0.187385,0.289919,1.000000
367.676971,0.295389,0.298368,1.000000
368.621826,0.028500,0.307354,1.000000
369.609253,0.285776,0.316784,1.000000
368.265045,0.406631,0.326560,1.000000
367.044922,0.275661,0.336581,1.000000
367.252319,0.328864,0.346742,1.000000
368.579285,-0.001851,0.356938,1.000000
370.079468,0.382903,0.367063,1.000000
369.241150,0.477462,0.377011,1.000000
366.720703,0.297696,0.386680,1.000000
368.291626,0.325591,0.395967,1.000000
370.623108,0.435541,0.404777,1.000000
369.793549,0.355954,0.413018,1.000000
369.590363,0.417860,0.420603,1.000000
369.421234,0.291443,0.427454,1.000000
371.279785,0.431489,0.433498,1.000000
370.457397,0.406354,0.438673,1.000000
367.424774,0.456115,0.442924,1.000000
367.973633,0.622589,0.446207,1.000000
368.559662,0.434214,0.448487,1.000000
368.335205,0.616924,0.449741,1.000000
368.198334,0.485012,0.449954,1.000000
368.400574,0.469129,0.449125,1.000000
369.518158,0.486223,0.447262,1.000000
369.415009,0.512209,0.444383,1.000000
369.609680,0.452234,0.440519,1.000000
367.951355,0.456972,0.435709,1.000000
370.214996,0.401983,0.430004,1.000000
372.810944,0.442394,0.423463,1.000000
372.647949,0.453256,0.416154,1.000000
372.149536,0.528734,0.408153,1.000000
371.412659,0.442978,0.399543,1.000000
372.657990,0.418033,0.390415,1.000000
371.653992,0.266911,0.380864,1.000000
369.012512,0.358263,0.370988,1.000000
371.538055,0.155387,0.360893,1.000000
372.014893,0.399200,0.350682,1.000000
370.246185,0.466946,0.340463,1.000000
369.246185,0.323403,0.330343,1.000000
369.325562,0.323165,0.320428,1.000000
370.407227,0.319804,0.310821,1.000000
371.527466,0.340014,0.301624,1.000000
371.383148,0.342553,0.292933,1.000000
370.287964,0.225081,0.284838,1.000000
370.696350,0.223822,0.277425,1.000000
372.288879,0.218528,0.270772,1.000000
369.646149,0.269856,0.264949,1.000000
371.740326,0.224746,0.260017,1.000000
372.252563,0.188928,0.256027,1.000000
373.322845,0.220587,0.253023,1.000000
371.681000,0.381515,0.251036,1.000000
368.557770,0.187376,0.250086,1.000000
368.076050,0.327670,0.250185,1.000000
368.468719,0.316526,0.251332,1.000000
368.332916,0.027277,0.253514,1.000000
367.953430,0.437082,0.256710,1.000000
368.137573,0.206673,0.260886,1.000000
367.922760,0.587041,0.265998,1.000000
367.229309,0.267551,0.271993,1.000000
366.383179,0.303252,0.278808,1.000000
366.784760,0.332796,0.286372,1.000000
367.986603,0.141830,0.294606,1.000000
369.873383,0.206058,0.303423,1.000000
370.469055,0.344025,0.312730,1.000000
369.953217,0.355349,0.322431,1.000000
369.598267,0.312996,0.332422,1.000000
370.143555,0.414008,0.342599,1.000000
368.807373,0.267919,0.352856,1.000000
366.394562,0.380108,0.363083,1.000000
368.547852,0.361155,0.373173,1.000000
369.889923,0.342005,0.383020,1.000000
367.894073,0.422794,0.392521,1.000000
366.358795,0.272273,0.401574,1.000000
366.237946,0.369198,0.410085,1.000000
367.776978,0.351603,0.417964,1.000000
369.286255,0.444416,0.425127,1.000000
368.881927,0.372304,0.431499,1.000000
367.052826,0.401933,0.437012,1.000000
368.696259,0.439572,0.441608,1.000000
370.417542,0.560806,0.445238,1.000000
370.438141,0.390568,0.447863,1.000000
370.773102,0.418219,0.449456,1.000000
370.070007,0.400539,0.450000,1.000000
371.795410,0.321131,0.449488,1.000000
370.683777,0.589721,0.447925,1.000000
367.990479,0.473243,0.445328,1.000000
368.180420,0.397945,0.441724,1.000000
369.365601,0.430524,0.437150,1.000000
369.709991,0.450069,0.431655,1.000000
368.446503,0.539769,0.425297,1.000000
368.748810,0.411473,0.418142,1.000000
369.926514,0.503087,0.410265,1.000000
