raw21,omega_pll,Iq_ref,dbg_iq_a
514979.000000,22.683784,0.145890,0.088820
511129.000000,22.118176,0.145890,-0.030576
507359.000000,21.462730,0.154412,0.220867
503693.000000,20.726351,0.154412,0.099902
500158.000000,19.946754,0.168475,0.082128
496740.000000,19.339973,0.168475,-0.003312
493470.000000,18.884583,0.181419,0.225189
490312.000000,18.560200,0.181419,0.094549
487262.000000,18.336136,0.189545,0.144646
484316.000000,18.093018,0.189545,0.154564
481380.000000,17.992628,0.193583,0.232835
478465.000000,17.985479,0.193583,0.231080
475449.000000,18.273918,0.191422,0.249307
472406.000000,18.409182,0.191422,0.103641
469347.000000,18.338306,0.190000,0.217784
466226.000000,17.999504,0.190000,0.275240
462990.000000,17.919580,0.194677,0.213282
459767.000000,17.582628,0.194677,0.169543
456503.000000,17.384768,0.198908,-0.014068
453259.000000,17.198034,0.198908,0.111849
450036.000000,17.251640,0.201772,0.144400
446871.000000,17.402643,0.201772,0.102228
443804.000000,17.313162,0.200070,0.099706
440759.000000,17.410805,0.200070,0.113415
437770.000000,17.489992,0.199510,0.191040
434854.000000,17.413733,0.199510,0.167066
431961.000000,17.390757,0.200193,0.171480
429054.000000,17.470518,0.200193,0.185679
426060.000000,18.012484,0.196593,0.194955
423009.000000,18.671154,0.196593,0.179962
419858.000000,19.301579,0.184472,0.184543
416536.000000,20.215658,0.184472,0.187814
413104.000000,20.849453,0.169286,0.182620
409422.000000,21.550966,0.169286,0.209595
405646.000000,21.881124,0.156337,0.177824
401744.000000,21.956814,0.156337,0.217257
397711.000000,21.980526,0.155191,0.181797
393539.000000,22.266485,0.155191,0.168602
389490.000000,22.206190,0.151133,0.229301
385399.000000,22.495588,0.151133,0.377970
381317.000000,23.036777,0.147187,0.153028
377451.000000,23.228989,0.147187,0.193800
373812.000000,23.023836,0.142453,0.325101
370261.000000,22.879967,0.142453,0.352186
366732.000000,22.858173,0.144924,-0.046113
363194.000000,22.842819,0.144924,0.249559
359630.000000,22.718454,0.145890,0.167994
356087.000000,22.604616,0.145890,-0.120180
352522.000000,22.543461,0.148350,-0.098403
348936.000000,22.561575,0.148350,0.204376
345323.000000,22.583172,0.147128,0.173199
341784.000000,22.249645,0.147128,0.097591
338254.000000,21.894405,0.152468,0.134595
334766.000000,21.327616,0.152468,0.108707
331273.000000,20.893904,0.161761,0.122704
327906.000000,20.213253,0.161761,0.121917
324687.000000,19.715361,0.173547,0.109047
321625.000000,19.148415,0.173547,0.115579
318677.000000,18.693142,0.184430,0.170322
315788.000000,18.483656,0.184430,0.102879
312986.000000,18.239422,0.188672,0.278047
310259.000000,18.072485,0.188672,0.240912
307536.000000,18.070448,0.192211,0.207456
304812.000000,18.100958,0.192211,0.150644
302084.000000,18.079580,0.192797,0.340488
299243.000000,18.287598,0.192797,0.202332
296353.000000,18.558842,0.189293,0.224298
293328.000000,19.103085,0.189293,0.210487
290177.000000,19.556499,0.180099,0.238756
286955.000000,19.876312,0.180099,0.177189
283677.000000,20.145693,0.173205,0.211673
280402.000000,20.194508,0.173205,0.196789
277125.000000,20.151390,0.171390,0.200560
273922.000000,19.895866,0.171390,0.229662
270781.000000,19.530703,0.176723,0.218747
267694.000000,19.076441,0.176723,0.217120
264660.000000,18.782072,0.185082,0.211778
261634.000000,18.767431,0.185082,0.193834
258628.000000,18.889194,0.184754,0.127519
255562.000000,19.358225,0.184754,0.163930
252395.000000,20.276571,0.176068,0.145100
249093.000000,21.247833,0.176068,0.153042
245629.000000,22.306061,0.157745,0.094507
241975.000000,23.134182,0.157745,0.080696
238117.000000,23.831871,0.139376,0.017979
234180.000000,23.699959,0.139376,0.136551
230165.000000,23.680933,0.136721,0.144257
226075.000000,23.552202,0.136721,0.037106
221994.000000,23.443174,0.138459,0.140588
217984.000000,23.203718,0.138459,0.164887
214029.000000,22.804180,0.142452,0.151737
210037.000000,22.655090,0.142452,0.121075
206134.000000,22.208874,0.149272,0.181936
202356.000000,21.693005,0.149272,0.128066
198491.000000,21.613491,0.158566,0.160109
194661.000000,21.812597,0.158566,-0.050785
190897.000000,21.866112,0.155795,0.371157
187142.000000,21.906713,0.155795,0.258681
183351.000000,22.009485,0.154062,0.224339
179327.000000,22.514696,0.154062,0.409845
175383.000000,22.326385,0.147970,0.269477
171411.000000,21.992748,0.147970,0.360719
167390.000000,21.454685,0.153967,0.336715
163340.000000,20.831778,0.153967,0.408953
159486.000000,19.748156,0.169487,0.169827
155690.000000,18.859114,0.169487,0.069833
151995.000000,18.240829,0.187542,0.027195
148396.000000,17.920853,0.187542,0.133288
144912.000000,17.961439,0.195602,0.028700
141527.000000,17.980606,0.195602,0.044016
138239.000000,17.923903,0.193246,0.130450
135148.000000,17.467213,0.193246,0.168038
132047.000000,17.304255,0.198775,0.168229
129029.000000,17.080217,0.198775,0.132499
125980.000000,16.923071,0.204447,0.171874
122919.000000,17.067980,0.204447,0.186308
119853.000000,17.230186,0.202332,0.190667
116688.000000,17.645123,0.202332,0.185748
113517.000000,17.777031,0.197228,0.184191
110220.000000,18.016380,0.197228,0.168299
106769.000000,18.505848,0.191465,0.274033
103365.000000,18.268066,0.191465,0.165451
99778.000000,18.504244,0.190369,0.285144
96246.000000,18.311962,0.190369,0.051741
92661.000000,18.408443,0.190082,0.214004
89171.000000,18.300747,0.190082,0.221518
85703.000000,18.515253,0.190566,0.306390
82320.000000,18.742908,0.190566,0.225084
79030.000000,18.962402,0.185962,0.153367
75694.000000,19.536560,0.185962,0.230287
72364.000000,20.186659,0.175582,0.228701
68998.000000,20.912500,0.175582,0.231560
65566.000000,21.532623,0.161736,0.024698
62002.000000,22.069296,0.161736,0.171556
58253.000000,22.603920,0.150398,0.234572
54310.000000,22.949631,0.150398,0.220686
50353.000000,22.897467,0.144165,0.155769
46336.000000,22.917156,0.144165,0.094514
42333.000000,22.888412,0.145020,0.080249
38378.000000,23.036537,0.145020,0.390612
34548.000000,22.868235,0.143698,-0.090145
30830.000000,22.478426,0.143698,-0.000581
27132.000000,22.255421,0.151039,0.108731
23572.000000,21.854116,0.151039,0.035130
20057.000000,21.436663,0.156136,0.069841
16713.000000,20.989220,0.156136,0.094914
13413.000000,20.845165,0.164388,0.120907
10107.000000,20.937336,0.164388,0.095240
6839.000000,20.886612,0.163888,0.190663
3472.000000,21.184175,0.163888,0.423369
152.000000,21.138264,0.162228,0.294058
2093979.000000,20.830105,0.162228,0.180959
2090486.000000,20.980202,0.166039,0.224509
2087098.000000,20.603945,0.166039,0.047798
2083648.000000,20.406235,0.168676,0.188736
2080205.000000,20.352715,0.168676,0.193807
2076656.000000,20.622786,0.169360,0.197961
2073249.000000,20.448288,0.169360,0.236046
2069869.000000,20.325716,0.169465,0.190410
2066580.000000,20.072998,0.169465,0.234386
2063362.000000,19.742674,0.174118,0.213570
2060227.000000,19.289261,0.174118,0.246658
2057133.000000,19.050978,0.181972,0.222987
2054130.000000,18.457199,0.181972,0.209437
2051028.000000,18.501471,0.190716,0.220742
2048062.000000,18.276884,0.190716,0.215399
2045110.000000,18.214607,0.190717,0.173306
2042107.000000,18.431269,0.190717,0.169565
2039080.000000,18.711538,0.188481,0.216223
2035960.000000,19.084738,0.188481,0.083677
2032699.000000,19.646330,0.180648,-0.103315
2029406.000000,19.811872,0.180648,0.004084
2026078.000000,19.603283,0.176861,0.212112
2022648.000000,19.466478,0.176861,0.146524
2019197.000000,19.233023,0.179993,0.005120
2015767.000000,19.103739,0.179993,0.030996
2012299.000000,19.284229,0.182796,0.141660
2009015.000000,19.015917,0.182796,0.124258
2005719.000000,18.942093,0.185633,0.158312
2002387.000000,19.181805,0.185633,0.194103
1999164.000000,19.129360,0.183833,0.400557
1995970.000000,19.092615,0.183833,0.363880
1992890.000000,18.645060,0.183988,-0.065334
1989679.000000,18.886179,0.183988,-0.086399
1986433.000000,19.129471,0.183638,0.149196
1983109.000000,19.519760,0.183638,0.197660
1979602.000000,20.280479,0.177168,0.211807
1976062.000000,20.781200,0.177168,0.215768
1972396.000000,21.392313,0.165136,0.236170
1968689.000000,21.787176,0.165136,0.357703
1964999.000000,21.830126,0.155670,0.131633
1961277.000000,21.856670,0.155670,0.299538
1957617.000000,21.461082,0.157293,0.233395
1954084.000000,20.694736,0.157293,0.217338
1950349.000000,20.589218,0.168635,0.343361
1947004.000000,19.607271,0.168635,0.199886
1943657.000000,19.202057,0.180345,0.167287
1940479.000000,18.843090,0.180345,0.176151
1937249.000000,19.097572,0.184447,0.049905
1934109.000000,19.363127,0.184447,0.120286
1931009.000000,19.655170,0.179205,0.046703
1927904.000000,19.970396,0.179205,0.131384
1924840.000000,19.879263,0.173652,0.217986
1921769.000000,19.816431,0.173652,0.108082
1918688.000000,19.537394,0.176982,0.129789
1915527.000000,19.594299,0.176982,0.109070
1912352.000000,19.601528,0.177293,0.144921
1909047.000000,20.030582,0.177293,0.173123
1905909.000000,19.629601,0.173617,0.161909
1902764.000000,19.203062,0.173617,0.194279
1899614.000000,18.935820,0.181914,0.189623
1896513.000000,18.607304,0.181914,0.181345
1893476.000000,18.171997,0.188991,0.141522
1890504.000000,17.737659,0.188991,0.175701
1887599.000000,17.522549,0.197598,0.107903
1884801.000000,17.316830,0.197598,0.153839
1882016.000000,17.433287,0.198830,0.216576
1879286.000000,17.719465,0.198830,0.238618
1876676.000000,17.660910,0.196661,0.198744
1873919.000000,18.438091,0.196661,0.104392
1871213.000000,18.760170,0.188310,0.142484
1868541.000000,18.874073,0.188310,0.242764
1865796.000000,19.058834,0.183879,0.218521
1863007.000000,19.104876,0.183879,0.140217
1860128.000000,19.104858,0.181820,0.139588
1857166.000000,18.998318,0.181820,0.092853
1854176.000000,18.735144,0.185927,-0.059451
1851102.000000,18.595676,0.185927,0.246387
1848095.000000,18.366577,0.189189,0.442877
1845103.000000,18.276394,0.189189,0.005078
1842208.000000,18.110298,0.192106,0.095618
1839411.000000,17.855103,0.192106,-0.114893
1836645.000000,17.830252,0.195575,0.213191
1833993.000000,17.751328,0.195575,0.446849
1831394.000000,17.661053,0.196016,0.134786
1828814.000000,17.657928,0.196016,0.156025
1826303.000000,17.490818,0.198808,0.133942
1823631.000000,17.954119,0.198808,0.173161
1820983.000000,18.353554,0.191991,0.166658
1818243.000000,18.974007,0.191991,0.200554
1815375.000000,19.607449,0.181476,0.233784
1812404.000000,20.174286,0.181476,-0.008942
1809307.000000,20.627674,0.169342,0.112137
1806100.000000,20.922029,0.169342,0.163085
1802793.000000,21.058744,0.162996,0.364446
1799450.000000,20.993561,0.162996,0.179670
1795971.000000,21.234901,0.164315,0.257729
1792607.000000,20.918625,0.164315,0.306013
1789265.000000,20.822006,0.165662,0.183481
1785964.000000,20.731052,0.165662,0.173160
1782569.000000,21.114944,0.161999,0.206346
1779146.000000,21.621231,0.161999,0.199729
1775811.000000,21.854641,0.154488,0.192525
1772611.000000,21.566961,0.154488,0.202310
1769418.000000,21.247530,0.158974,0.202977
1766048.000000,21.456926,0.158974,0.210987
1762732.000000,21.183760,0.162157,0.209090
1759299.000000,21.077522,0.162157,0.214851
1755834.000000,21.123749,0.161887,0.166550
1752140.000000,21.719215,0.161887,0.132189
1748534.000000,21.906830,0.157134,0.122504
1744970.000000,21.790028,0.157134,0.125850
1741292.000000,21.885784,0.156240,0.125411
1737672.000000,21.426584,0.156240,0.159949
1733952.000000,21.197498,0.160198,0.084808
1730297.000000,20.786564,0.160198,0.076350
1726793.000000,20.128101,0.168028,0.087543
1723394.000000,19.683878,0.168028,0.190899
1720116.000000,19.321016,0.178823,0.094223
1717045.000000,18.672625,0.178823,0.140261
1713939.000000,18.442495,0.185841,0.211565
1710848.000000,18.499868,0.185841,0.216232
1707885.000000,18.140957,0.191061,0.137833
1705008.000000,17.733774,0.191061,0.133159
1702068.000000,17.637039,0.198405,0.396390
1699053.000000,17.739447,0.198405,0.143019
1695961.000000,17.928785,0.194901,0.214390
1692849.000000,18.044628,0.194901,0.342093
1689584.000000,18.499941,0.190884,0.342723
1686252.000000,18.872269,0.190884,-0.002559
1682961.000000,18.764004,0.185133,0.173335
1679598.000000,18.874393,0.185133,0.220256
1676349.000000,18.598770,0.186227,0.315771
1673083.000000,18.443987,0.186227,-0.052968
1669925.000000,18.088425,0.191241,0.218344
1666830.000000,17.614986,0.191241,0.034088
1663822.000000,17.226875,0.200116,0.202309
1660880.000000,16.706047,0.200116,0.220677
1657888.000000,16.713554,0.206597,0.132661
1654942.000000,16.893436,0.206597,0.154959
1651988.000000,17.257423,0.204031,0.088005
1649034.000000,17.606075,0.204031,0.163825
1646009.000000,18.193737,0.195175,0.112056
1642890.000000,18.896706,0.195175,0.262054
1639646.000000,19.632969,0.181512,0.161349
1636309.000000,20.066944,0.181512,0.182072
1632839.000000,20.270712,0.172376,0.118675
1629237.000000,20.603815,0.172376,0.174825
1625624.000000,20.485575,0.168064,0.136944
1621978.000000,20.496834,0.168064,0.167148
1618365.000000,20.413792,0.168695,0.167805
1614740.000000,20.613483,0.168695,0.159608
1611174.000000,20.451733,0.168749,0.158444
1607605.000000,20.583103,0.168749,0.162586
1604090.000000,20.362898,0.168411,0.164005
